"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUAMALIES (000)",15749,224,7537,4857,1200,371,167,72,19,,1302
"Catolica (001)",10130,154,4767,3129,833,247,112,43,11,,834
"Cristiana / Evangelica (002)",5067,63,2495,1570,324,107,49,27,7,,425
"Otra (003)",212,1,99,67,16,11,4,,1,,13
"Ninguna (004)",340,6,176,91,27,6,2,2,,,30
,,,,,,,,,,,
"URBANA (006)",4726,52,2025,1491,439,148,65,32,6,,468
"Catolica (007)",3102,37,1303,968,319,99,42,19,3,,312
"Cristiana / Evangelica (008)",1491,11,661,482,114,46,21,11,2,,143
"Otra (009)",53,1,23,18,4,2,2,,1,,2
"Ninguna (010)",80,3,38,23,2,1,,2,,,11
,,,,,,,,,,,
"RURAL (012)",11023,172,5512,3366,761,223,102,40,13,,834
"Catolica (013)",7028,117,3464,2161,514,148,70,24,8,,522
"Cristiana / Evangelica (014)",3576,52,1834,1088,210,61,28,16,5,,282
"Otra (015)",159,,76,49,12,9,2,,,,11
"Ninguna (016)",260,3,138,68,25,5,2,,,,19
