"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia OYON (000)",19329,2433,5536,938,10642
"Sin Nivel (001)",2455,435,434,58,1530
"Educación Inicial (002)",590,167,181,18,227
"Primaria (003)",6540,1052,1442,194,3864
"Secundaria (004)",6373,648,1891,257,3619
"Sup. no Univ. Incompleta (005)",826,26,318,93,439
"Sup. no Univ. Completa (006)",782,22,399,99,303
"Sup. Univ. Incompleta (007)",509,27,177,52,270
"Sup. Univ. Completa (008)",1254,56,694,167,390
"Hombres (010)",10180,1122,3319,653,5283
"Sin Nivel (011)",787,174,190,23,401
"Educación Inicial (012)",290,86,75,8,122
"Primaria (013)",3146,495,700,92,1866
"Secundaria (014)",3752,298,1229,190,2071
"Sup. no Univ. Incompleta (015)",546,10,251,81,253
"Sup. no Univ. Completa (016)",556,14,316,88,178
"Sup. Univ. Incompleta (017)",339,11,120,46,178
"Sup. Univ. Completa (018)",764,34,438,125,214
"Mujeres (020)",9149,1311,2217,285,5359
"Sin Nivel (021)",1668,261,244,35,1129
"Educación Inicial (022)",300,81,106,10,105
"Primaria (023)",3394,557,742,102,1998
"Secundaria (024)",2621,350,662,67,1548
"Sup. no Univ. Incompleta (025)",280,16,67,12,186
"Sup. no Univ. Completa (026)",226,8,83,11,125
"Sup. Univ. Incompleta (027)",170,16,57,6,92
"Sup. Univ. Completa (028)",490,22,256,42,176
,,,,,
"URBANA (030)",12361,1289,3819,484,6806
"Sin Nivel (031)",1549,209,392,40,909
"Educación Inicial (032)",436,96,169,16,158
"Primaria (033)",4119,539,1167,114,2309
"Secundaria (034)",4211,367,1296,158,2403
"Sup. no Univ. Incompleta (035)",510,17,155,25,314
"Sup. no Univ. Completa (036)",435,15,158,31,233
"Sup. Univ. Incompleta (037)",322,19,96,15,192
"Sup. Univ. Completa (038)",779,27,386,85,288
"Hombres (040)",5986,572,1927,284,3225
"Sin Nivel (041)",492,82,168,16,226
"Educación Inicial (042)",211,46,68,7,91
"Primaria (043)",1911,260,546,52,1059
"Secundaria (044)",2252,150,714,104,1292
"Sup. no Univ. Incompleta (045)",278,5,97,15,162
"Sup. no Univ. Completa (046)",267,10,95,24,139
"Sup. Univ. Incompleta (047)",179,6,48,12,113
"Sup. Univ. Completa (048)",396,13,191,54,143
"Mujeres (050)",6375,717,1892,200,3581
"Sin Nivel (051)",1057,127,224,24,683
"Educación Inicial (052)",225,50,101,9,67
"Primaria (053)",2208,279,621,62,1250
"Secundaria (054)",1959,217,582,54,1111
"Sup. no Univ. Incompleta (055)",232,12,58,10,152
"Sup. no Univ. Completa (056)",168,5,63,7,94
"Sup. Univ. Incompleta (057)",143,13,48,3,79
"Sup. Univ. Completa (058)",383,14,195,31,145
,,,,,
"RURAL (060)",6968,1144,1717,454,3836
"Sin Nivel (061)",906,226,42,18,621
"Educación Inicial (062)",154,71,12,2,69
"Primaria (063)",2421,513,275,80,1555
"Secundaria (064)",2162,281,595,99,1216
"Sup. no Univ. Incompleta (065)",316,9,163,68,125
"Sup. no Univ. Completa (066)",347,7,241,68,70
"Sup. Univ. Incompleta (067)",187,8,81,37,78
"Sup. Univ. Completa (068)",475,29,308,82,102
"Hombres (070)",4194,550,1392,369,2058
"Sin Nivel (071)",295,92,22,7,175
"Educación Inicial (072)",79,40,7,1,31
"Primaria (073)",1235,235,154,40,807
"Secundaria (074)",1500,148,515,86,779
"Sup. no Univ. Incompleta (075)",268,5,154,66,91
"Sup. no Univ. Completa (076)",289,4,221,64,39
"Sup. Univ. Incompleta (077)",160,5,72,34,65
"Sup. Univ. Completa (078)",368,21,247,71,71
"Mujeres (080)",2774,594,325,85,1778
"Sin Nivel (081)",611,134,20,11,446
"Educación Inicial (082)",75,31,5,1,38
"Primaria (083)",1186,278,121,40,748
"Secundaria (084)",662,133,80,13,437
"Sup. no Univ. Incompleta (085)",48,4,9,2,34
"Sup. no Univ. Completa (086)",58,3,20,4,31
"Sup. Univ. Incompleta (087)",27,3,9,3,13
"Sup. Univ. Completa (088)",107,8,61,11,31
