"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia AMBO (000)",934,260,674
"Sin nivel (001)",97,23,74
"Educación inicial (002)",1,,1
"Primaria (003)",308,96,212
"Secundaria (004)",386,101,285
"Superior no univ. incompleta (005)",31,13,18
"Superior no univ. completa (006)",46,11,35
"Superior univ. incompleta (007)",28,9,19
"Superior univ. completa (008)",37,7,30
"De 14 a 29 años (010)",493,196,297
"Sin nivel (011)",33,11,22
"Primaria (013)",125,66,59
"Secundaria (014)",262,89,173
"Superior no univ. incompleta (015)",18,10,8
"Superior no univ. completa (016)",23,9,14
"Superior univ. incompleta (017)",12,8,4
"Superior univ. completa (018)",20,3,17
"De 30 a 44 años (020)",262,48,214
"Sin nivel (021)",32,8,24
"Educación inicial (022)",1,,1
"Primaria (023)",97,22,75
"Secundaria (024)",82,9,73
"Superior no univ. incompleta (025)",7,2,5
"Superior no univ. completa (026)",20,2,18
"Superior univ. incompleta (027)",10,1,9
"Superior univ. completa (028)",13,4,9
"De 45 a 64 años (030)",147,16,131
"Sin nivel (031)",24,4,20
"Primaria (033)",67,8,59
"Secundaria (034)",37,3,34
"Superior no univ. incompleta (035)",6,1,5
"Superior no univ. completa (036)",3,,3
"Superior univ. incompleta (037)",6,,6
"Superior univ. completa (038)",4,,4
"De 65 y más años (040)",32,,32
"Sin nivel (041)",8,,8
"Primaria (043)",19,,19
"Secundaria (044)",5,,5
,,,
"AREA URBANA (050)",500,107,393
"Sin nivel (051)",36,5,31
"Educación inicial (052)",1,,1
"Primaria (053)",121,19,102
"Secundaria (054)",230,53,177
"Superior no univ. incompleta (055)",23,10,13
"Superior no univ. completa (056)",32,6,26
"Superior univ. incompleta (057)",24,7,17
"Superior univ. completa (058)",33,7,26
"De 14 a 29 años (060)",248,81,167
"Sin nivel (061)",18,2,16
"Primaria (063)",36,12,24
"Secundaria (064)",138,45,93
"Superior no univ. incompleta (065)",15,9,6
"Superior no univ. completa (066)",13,4,9
"Superior univ. incompleta (067)",10,6,4
"Superior univ. completa (068)",18,3,15
"De 30 a 44 años (070)",157,20,137
"Sin nivel (071)",6,2,4
"Educación inicial (072)",1,,1
"Primaria (073)",44,5,39
"Secundaria (074)",64,5,59
"Superior no univ. incompleta (075)",5,1,4
"Superior no univ. completa (076)",17,2,15
"Superior univ. incompleta (077)",8,1,7
"Superior univ. completa (078)",12,4,8
"De 45 a 64 años (080)",79,6,73
"Sin nivel (081)",8,1,7
"Primaria (083)",33,2,31
"Secundaria (084)",24,3,21
"Superior no univ. incompleta (085)",3,,3
"Superior no univ. completa (086)",2,,2
"Superior univ. incompleta (087)",6,,6
"Superior univ. completa (088)",3,,3
"De 65 y más años (090)",16,,16
"Sin nivel (091)",4,,4
"Primaria (093)",8,,8
"Secundaria (094)",4,,4
,,,
"AREA RURAL (100)",434,153,281
"Sin nivel (101)",61,18,43
"Primaria (103)",187,77,110
"Secundaria (104)",156,48,108
"Superior no univ. incompleta (105)",8,3,5
"Superior no univ. completa (106)",14,5,9
"Superior univ. incompleta (107)",4,2,2
"Superior univ. completa (108)",4,,4
"De 14 a 29 años (110)",245,115,130
"Sin nivel (111)",15,9,6
"Primaria (113)",89,54,35
"Secundaria (114)",124,44,80
"Superior no univ. incompleta (115)",3,1,2
"Superior no univ. completa (116)",10,5,5
"Superior univ. incompleta (117)",2,2,
"Superior univ. completa (118)",2,,2
"De 30 a 44 años (120)",105,28,77
"Sin nivel (121)",26,6,20
"Primaria (123)",53,17,36
"Secundaria (124)",18,4,14
"Superior no univ. incompleta (125)",2,1,1
"Superior no univ. completa (126)",3,,3
"Superior univ. incompleta (127)",2,,2
"Superior univ. completa (128)",1,,1
"De 45 a 64 años (130)",68,10,58
"Sin nivel (131)",16,3,13
"Primaria (133)",34,6,28
"Secundaria (134)",13,,13
"Superior no univ. incompleta (135)",3,1,2
"Superior no univ. completa (136)",1,,1
"Superior univ. completa (138)",1,,1
"De 65 y más años (140)",16,,16
"Sin nivel (141)",4,,4
"Primaria (143)",11,,11
"Secundaria (144)",1,,1
