"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CAJABAMBA (000)",17179,6155,11024
"Red pública dentro de la vivienda (001)",6530,4020,2510
"Red pública fuera de la vivienda (002)",5713,1641,4072
"Pilón de uso público (003)",109,30,79
"Camión - cisterna u otro similar (004)",3,1,2
"Pozo (005)",1518,95,1423
"Río, acequia, manatial o similar (006)",2506,200,2306
"Vecino (007)",725,152,573
"Otro (008)",75,16,59
,,,
"URBANA (010)",4145,3543,602
"Red pública dentro de la vivienda (011)",3499,3131,368
"Red pública fuera de la vivienda (012)",438,313,125
"Pilón de uso público (013)",32,23,9
"Camión - cisterna u otro similar (014)",2,1,1
"Pozo (015)",20,13,7
"Río, acequia, manatial o similar (016)",13,8,5
"Vecino (017)",120,40,80
"Otro (018)",21,14,7
,,,
"RURAL (020)",13034,2612,10422
"Red pública dentro de la vivienda (021)",3031,889,2142
"Red pública fuera de la vivienda (022)",5275,1328,3947
"Pilón de uso público (023)",77,7,70
"Camión - cisterna u otro similar (024)",1,,1
"Pozo (025)",1498,82,1416
"Río, acequia, manatial o similar (026)",2493,192,2301
"Vecino (027)",605,112,493
"Otro (028)",54,2,52
