"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SAN MIGUEL (000)",52828,8885,1086,28503,11933,479,884,289,769
"Jefe o Jefa (001)",14847,2321,7,8734,2837,115,383,87,363
"Esposa(o)/ compa¤era(o) (002)",10002,2493,5,5767,1352,53,157,36,139
"Hijo(a)/ hijastro(a) (003)",20863,2661,805,10518,6146,230,239,117,147
"Yerno/ nuera (004)",962,49,,500,324,14,39,8,28
"Nieto(a) (005)",3073,560,215,1596,656,20,10,10,6
"Padres/ suegros (006)",499,344,,141,12,,1,,1
"Otro(a) pariente (007)",2165,396,51,1081,505,37,42,17,36
"Trabajador(a) del hogar (008)",80,15,,50,13,1,,1,
"Pensionista (009)",19,,,7,4,1,1,1,5
"Otro(a) no pariente (010)",318,46,3,109,84,8,12,12,44
"Hombres (012)",25985,2587,541,14196,7296,275,487,158,445
"Jefe o Jefa (013)",11350,783,5,7269,2530,101,306,67,289
"Esposa(o)/ compa¤era(o) (014)",331,46,,176,88,5,4,,12
"Hijo(a)/ hijastro(a) (015)",10878,1262,402,5110,3719,125,119,66,75
"Yerno/ nuera (016)",411,14,,179,156,8,27,5,22
"Nieto(a) (017)",1618,277,107,803,410,12,2,4,3
"Padres/ suegros (018)",113,38,,68,7,,,,
"Otro(a) pariente (019)",1092,153,25,527,316,21,23,8,19
"Trabajador(a) del hogar (020)",9,1,,5,3,,,,
"Pensionista (021)",17,,,6,4,1,,1,5
"Otro(a) no pariente (022)",166,13,2,53,63,2,6,7,20
"Mujeres (024)",26843,6298,545,14307,4637,204,397,131,324
"Jefe o Jefa (025)",3497,1538,2,1465,307,14,77,20,74
"Esposa(o)/ compa¤era(o) (026)",9671,2447,5,5591,1264,48,153,36,127
"Hijo(a)/ hijastro(a) (027)",9985,1399,403,5408,2427,105,120,51,72
"Yerno/ nuera (028)",551,35,,321,168,6,12,3,6
"Nieto(a) (029)",1455,283,108,793,246,8,8,6,3
"Padres/ suegros (030)",386,306,,73,5,,1,,1
"Otro(a) pariente (031)",1073,243,26,554,189,16,19,9,17
"Trabajador(a) del hogar (032)",71,14,,45,10,1,,1,
"Pensionista (033)",2,,,1,,,1,,
"Otro(a) no pariente (034)",152,33,1,56,21,6,6,5,24
,,,,,,,,,
"URBANA (036)",8483,924,191,3272,2693,209,524,155,515
"Jefe o Jefa (037)",2628,195,,1038,788,69,240,51,247
"Esposa(o)/ compa¤era(o) (038)",1572,196,,703,397,32,105,23,116
"Hijo(a)/ hijastro(a) (039)",3018,345,154,1095,1110,71,119,51,73
"Yerno/ nuera (040)",116,5,,23,49,4,16,5,14
"Nieto(a) (041)",401,70,30,159,121,9,4,4,4
"Padres/ suegros (042)",98,46,,44,6,,1,,1
"Otro(a) pariente (043)",451,49,6,152,160,17,28,10,29
"Trabajador(a) del hogar (044)",39,7,,22,9,,,1,
"Pensionista (045)",14,,,4,3,1,1,1,4
"Otro(a) no pariente (046)",146,11,1,32,50,6,10,9,27
"Hombres (048)",4207,313,95,1525,1534,108,267,83,282
