"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SANTA (000)",144012,4901,132,26634,54457,9531,14532,11262,22563
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",315,,,4,22,17,38,36,198
"Profes., científicos e intelectuales (002)",14293,,,,348,434,1335,1322,10854
"Técnicos de nivel medio ytrab.asimilados (003)",8108,33,4,174,1525,1086,2261,1285,1740
"Jefes y empleados de oficina (004)",6810,1,1,109,1892,621,1337,1076,1773
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",26600,1129,25,5043,11077,1933,2599,2388,2406
"Agricult.trabaj. calif.agrop. y pesquros (006)",9200,707,4,3728,3454,305,333,272,397
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",17699,418,12,2802,7832,1444,2580,1122,1489
"Obreros. construc., conf., papel, fab., instr (008)",18256,311,15,3228,9449,1309,1391,1332,1221
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",38118,2181,69,10839,17076,2058,2005,2047,1843
"Otra (010)",935,,,,236,50,360,104,185
"Ocupación no especificada (011)",3678,121,2,707,1546,274,293,278,457
"Hombres (012)",95127,2252,82,18132,39188,6358,8948,7232,12935
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",204,,,4,16,11,19,24,130
"Profes., científicos e intelectuales (014)",6843,,,,126,201,509,682,5325
"Técnicos de nivel medio ytrab.asimilados (015)",5060,10,4,112,1010,756,1298,842,1028
"Jefes y empleados de oficina (016)",3349,1,,70,1161,288,444,512,873
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",11579,190,6,1943,5241,866,1040,1162,1131
"Agricult.trabaj. calif.agrop. y pesquros (018)",8544,592,4,3465,3270,290,303,248,372
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",14130,197,9,2032,6206,1222,2257,933,1274
"Obreros. construc., conf., papel, fab., instr (020)",17753,274,13,3144,9245,1266,1351,1283,1177
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",24410,947,45,6922,11640,1227,1211,1267,1151
"Otra (022)",888,,,,224,49,337,99,179
"Ocupación no especificada (023)",2367,41,1,440,1049,182,179,180,295
"Mujeres (024)",48885,2649,50,8502,15269,3173,5584,4030,9628
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",111,,,,6,6,19,12,68
"Profes., científicos e intelectuales (026)",7450,,,,222,233,826,640,5529
"Técnicos de nivel medio ytrab.asimilados (027)",3048,23,,62,515,330,963,443,712
"Jefes y empleados de oficina (028)",3461,,1,39,731,333,893,564,900
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",15021,939,19,3100,5836,1067,1559,1226,1275
"Agricult.trabaj. calif.agrop. y pesquros (030)",656,115,,263,184,15,30,24,25
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",3569,221,3,770,1626,222,323,189,215
"Obreros. construc., conf., papel, fab., instr (032)",503,37,2,84,204,43,40,49,44
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",13708,1234,24,3917,5436,831,794,780,692
"Otra (034)",47,,,,12,1,23,5,6
