"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia CELENDIN",,,,,,
"Viviendas particulares (001)",21318,21007,260,41,9,1
"Ocupantes presentes (002)",88329,85649,2035,499,132,14
"Casa independiente",,,,,,
"Viviendas particulares (004)",20409,20145,231,25,7,1
"Ocupantes presentes (005)",84606,82358,1812,325,97,14
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",12,12,,,,
"Ocupantes presentes (008)",30,30,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",139,111,19,8,1,
"Ocupantes presentes (011)",609,368,143,86,12,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",93,76,8,8,1,
"Ocupantes presentes (014)",397,219,67,88,23,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",642,640,2,,,
"Ocupantes presentes (017)",2646,2633,13,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",1,1,,,,
"Ocupantes presentes (020)",2,2,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",17,17,,,,
"Ocupantes presentes (023)",31,31,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",5,5,,,,
"Ocupantes presentes (026)",8,8,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",5303,5030,224,40,8,1
"Ocupantes presentes (029)",22004,19635,1747,490,118,14
"Casa independiente",,,,,,
"Viviendas particulares (031)",5046,4818,197,24,6,1
"Ocupantes presentes (032)",20942,18992,1537,316,83,14
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",12,12,,,,
"Ocupantes presentes (035)",30,30,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",139,111,19,8,1,
"Ocupantes presentes (038)",609,368,143,86,12,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",93,76,8,8,1,
"Ocupantes presentes (041)",397,219,67,88,23,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",1,1,,,,
"Ocupantes presentes (047)",2,2,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",9,9,,,,
"Ocupantes presentes (050)",20,20,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",3,3,,,,
"Ocupantes presentes (053)",4,4,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",16015,15977,36,1,1,
"Ocupantes presentes (056)",66325,66014,288,9,14,
"Casa independiente",,,,,,
"Viviendas particulares (058)",15363,15327,34,1,1,
"Ocupantes presentes (059)",63664,63366,275,9,14,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",642,640,2,,,
"Ocupantes presentes (071)",2646,2633,13,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",8,8,,,,
"Ocupantes presentes (077)",11,11,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",2,2,,,,
"Ocupantes presentes (080)",4,4,,,,
