"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHINCHEROS (000)",12894,12433,44,1883,1870,1711,2844,2228,1313,540,461,54635
"De 12 a 14 años (001)",20,9,,9,,,,,,,11,9
"De 15 a 19 años (002)",360,310,5,260,42,2,1,,,,50,354
"De 20 a 24 años (003)",1276,1150,5,610,389,116,26,4,,,126,1872
"De 25 a 29 años (004)",1459,1358,3,332,463,342,206,12,,,101,3240
"De 30 a 34 años (005)",1518,1466,3,213,352,369,384,124,19,2,52,4652
"De 35 a 39 años (006)",1501,1468,3,106,188,266,538,288,71,8,33,6204
"De 40 a 44 años (007)",1267,1255,,57,93,159,404,329,176,37,12,6537
"De 45 a 49 años (008)",1084,1074,3,44,55,87,290,308,196,91,10,6322
"De 50 y más años (009)",4409,4343,22,252,288,370,995,1163,851,402,66,25445
"PEA (010)",2119,1983,4,416,411,330,413,242,130,37,136,7104
"De 12 a 14 años (011)",2,2,,2,,,,,,,,2
"De 15 a 19 años (012)",29,27,1,22,4,,,,,,2,30
"De 20 a 24 años (013)",181,145,,81,51,10,3,,,,36,226
"De 25 a 29 años (014)",296,242,1,98,91,35,15,2,,,54,461
"De 30 a 34 años (015)",366,343,,103,112,67,50,8,3,,23,818
"De 35 a 39 años (016)",310,297,1,44,56,78,78,30,9,1,13,1010
"De 40 a 44 años (017)",260,257,,21,36,57,88,38,16,1,3,1048
"De 45 a 49 años (018)",226,223,1,13,25,32,81,44,21,6,3,1045
"De 50 y más años (019)",449,447,,32,36,51,98,120,81,29,2,2464
"Ocupada (020)",2073,1951,4,401,402,328,410,240,129,37,122,7031
"De 12 a 14 años (021)",2,2,,2,,,,,,,,2
"De 15 a 19 años (022)",27,25,1,21,3,,,,,,2,27
