"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia MARISCAL NIETO (000)",27933,3638,6964,6491,10840
"Asiste actualmente (001)",20557,2241,6798,6188,5330
"No asiste (002)",7376,1397,166,303,5510
"Hombres (004)",14203,1888,3606,3226,5483
"Asiste actualmente (005)",10394,1156,3520,3068,2650
"No asiste (006)",3809,732,86,158,2833
"Mujeres (008)",13730,1750,3358,3265,5357
"Asiste actualmente (009)",10163,1085,3278,3120,2680
"No asiste (010)",3567,665,80,145,2677
,,,,,
"URBANA (012)",24625,3207,6129,5770,9519
"Asiste actualmente (013)",18400,2002,5996,5530,4872
"No asiste (014)",6225,1205,133,240,4647
"Hombres (016)",12383,1664,3154,2846,4719
"Asiste actualmente (017)",9234,1027,3091,2722,2394
"No asiste (018)",3149,637,63,124,2325
"Mujeres (020)",12242,1543,2975,2924,4800
"Asiste actualmente (021)",9166,975,2905,2808,2478
"No asiste (022)",3076,568,70,116,2322
,,,,,
"RURAL (024)",3308,431,835,721,1321
"Asiste actualmente (025)",2157,239,802,658,458
"No asiste (026)",1151,192,33,63,863
"Hombres (028)",1820,224,452,380,764
"Asiste actualmente (029)",1160,129,429,346,256
"No asiste (030)",660,95,23,34,508
"Mujeres (032)",1488,207,383,341,557
"Asiste actualmente (033)",997,110,373,312,202
"No asiste (034)",491,97,10,29,355
