"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TOCACHE (000)",724,25,367,193,119,20
"Conviviente (001)",244,,102,94,45,3
"Separado(a) (002)",33,,7,17,8,1
"Casado(a) (003)",100,,12,39,38,11
"Viudo(a) (004)",14,,,4,5,5
"Divorciado(a) (005)",2,,,,2,
"Soltero(a) (006)",331,25,246,39,21,
"Hombres (008)",584,18,275,164,109,18
"Conviviente (009)",200,,75,81,41,3
"Separado(a) (010)",23,,3,12,7,1
"Casado(a) (011)",88,,11,33,34,10
"Viudo(a) (012)",10,,,2,4,4
"Divorciado(a) (013)",2,,,,2,
"Soltero(a) (014)",261,18,186,36,21,
"Mujeres (016)",140,7,92,29,10,2
"Conviviente (017)",44,,27,13,4,
"Separado(a) (018)",10,,4,5,1,
"Casado(a) (019)",12,,1,6,4,1
"Viudo(a) (020)",4,,,2,1,1
"Soltero(a) (022)",70,7,60,3,,
,,,,,,
"AREA URBANA (024)",430,11,218,108,78,15
"Conviviente (025)",152,,63,54,32,3
"Separado(a) (026)",20,,6,10,3,1
"Casado(a) (027)",61,,9,17,26,9
"Viudo(a) (028)",8,,,2,4,2
"Divorciado(a) (029)",2,,,,2,
"Soltero(a) (030)",187,11,140,25,11,
"Hombres (032)",330,7,157,85,68,13
"Conviviente (033)",121,,45,45,28,3
"Separado(a) (034)",11,,2,6,2,1
"Casado(a) (035)",50,,8,12,22,8
"Viudo(a) (036)",4,,,,3,1
"Divorciado(a) (037)",2,,,,2,
"Soltero(a) (038)",142,7,102,22,11,
"Mujeres (040)",100,4,61,23,10,2
"Conviviente (041)",31,,18,9,4,
"Separado(a) (042)",9,,4,4,1,
"Casado(a) (043)",11,,1,5,4,1
"Viudo(a) (044)",4,,,2,1,1
"Soltero(a) (046)",45,4,38,3,,
,,,,,,
"AREA RURAL (048)",294,14,149,85,41,5
"Conviviente (049)",92,,39,40,13,
"Separado(a) (050)",13,,1,7,5,
"Casado(a) (051)",39,,3,22,12,2
"Viudo(a) (052)",6,,,2,1,3
"Soltero(a) (054)",144,14,106,14,10,
"Hombres (056)",254,11,118,79,41,5
"Conviviente (057)",79,,30,36,13,
"Separado(a) (058)",12,,1,6,5,
"Casado(a) (059)",38,,3,21,12,2
"Viudo(a) (060)",6,,,2,1,3
"Soltero(a) (062)",119,11,84,14,10,
"Mujeres (064)",40,3,31,6,,
"Conviviente (065)",13,,9,4,,
"Separado(a) (066)",1,,,1,,
"Casado(a) (067)",1,,,1,,
"Soltero(a) (070)",25,3,22,,,
