"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SANTA CRUZ (000)",303,302,1
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",36,36,
"Hospital, clinica (004)",19,19,
"Cárcel, centro de readaptación social (005)",34,34,
"Otro (008)",80,79,1
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",134,134,
