"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia PICOTA",,,,
"Viviendas particulares (001)",4449,3251,1134,64
"Ocupantes presentes (002)",19533,14257,5004,272
"Casa independiente",,,,
"Viviendas particulares (004)",4328,3195,1076,57
"Ocupantes presentes (005)",19060,14032,4786,242
"Departamento en edificio",,,,
"Viviendas particulares (007)",2,2,,
"Ocupantes presentes (008)",9,9,,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",49,27,22,
"Ocupantes presentes (011)",187,118,69,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",18,11,4,3
"Ocupantes presentes (014)",83,32,37,14
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (019)",39,10,27,2
"Ocupantes presentes (020)",140,33,98,9
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",13,6,5,2
"Ocupantes presentes (023)",54,33,14,7
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",3544,2578,916,50
"Ocupantes presentes (029)",15635,11346,4085,204
"Casa independiente",,,,
"Viviendas particulares (031)",3457,2539,870,48
"Ocupantes presentes (032)",15314,11190,3929,195
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",42,23,19,
"Ocupantes presentes (038)",155,100,55,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",8,6,2,
"Ocupantes presentes (041)",20,12,8,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (046)",27,5,20,2
"Ocupantes presentes (047)",103,15,79,9
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",10,5,5,
"Ocupantes presentes (050)",43,29,14,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",905,673,218,14
"Ocupantes presentes (056)",3898,2911,919,68
"Casa independiente",,,,
"Viviendas particulares (058)",871,656,206,9
"Ocupantes presentes (059)",3746,2842,857,47
"Departamento en edificio",,,,
"Viviendas particulares (061)",2,2,,
"Ocupantes presentes (062)",9,9,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",7,4,3,
"Ocupantes presentes (065)",32,18,14,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",10,5,2,3
"Ocupantes presentes (068)",63,20,29,14
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (073)",12,5,7,
"Ocupantes presentes (074)",37,18,19,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",3,1,,2
"Ocupantes presentes (077)",11,4,,7
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",3840,2929,853,58
"Ocupantes presentes (110)",16864,12880,3740,244
"Casa independiente",,,,
"Viviendas particulares (112)",3719,2873,795,51
"Ocupantes presentes (113)",16391,12655,3522,214
"Departamento en edificio",,,,
"Viviendas particulares (115)",2,2,,
"Ocupantes presentes (116)",9,9,,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",49,27,22,
"Ocupantes presentes (119)",187,118,69,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",18,11,4,3
"Ocupantes presentes (122)",83,32,37,14
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",39,10,27,2
"Ocupantes presentes (128)",140,33,98,9
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",13,6,5,2
"Ocupantes presentes (131)",54,33,14,7
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",3052,2319,689,44
"Ocupantes presentes (137)",13454,10242,3036,176
"Casa independiente",,,,
"Viviendas particulares (139)",2965,2280,643,42
"Ocupantes presentes (140)",13133,10086,2880,167
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",42,23,19,
"Ocupantes presentes (146)",155,100,55,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",8,6,2,
"Ocupantes presentes (149)",20,12,8,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",27,5,20,2
"Ocupantes presentes (155)",103,15,79,9
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",10,5,5,
"Ocupantes presentes (158)",43,29,14,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",788,610,164,14
"Ocupantes presentes (164)",3410,2638,704,68
"Casa independiente",,,,
"Viviendas particulares (166)",754,593,152,9
"Ocupantes presentes (167)",3258,2569,642,47
"Departamento en edificio",,,,
"Viviendas particulares (169)",2,2,,
"Ocupantes presentes (170)",9,9,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",7,4,3,
"Ocupantes presentes (173)",32,18,14,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",10,5,2,3
"Ocupantes presentes (176)",63,20,29,14
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",12,5,7,
"Ocupantes presentes (182)",37,18,19,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",3,1,,2
"Ocupantes presentes (185)",11,4,,7
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",609,322,281,6
"Ocupantes presentes (218)",2669,1377,1264,28
"Casa independiente",,,,
"Viviendas particulares (220)",609,322,281,6
"Ocupantes presentes (221)",2669,1377,1264,28
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",492,259,227,6
"Ocupantes presentes (245)",2181,1104,1049,28
"Casa independiente",,,,
"Viviendas particulares (247)",492,259,227,6
"Ocupantes presentes (248)",2181,1104,1049,28
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",117,63,54,
"Ocupantes presentes (272)",488,273,215,
"Casa independiente",,,,
"Viviendas particulares (274)",117,63,54,
"Ocupantes presentes (275)",488,273,215,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
