"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia CHACHAPOYAS (000)",18275,17052,13044,1107,2901,1223,104,280,808,31
"Casa independiente (001)",16019,14927,11503,981,2443,1092,60,280,722,30
"Departamento en edificio (002)",117,105,97,6,2,12,12,,,
"Vivienda en quinta (003)",234,231,223,6,2,3,1,,1,1
"Vivienda en casa de vecindad (004)",1307,1272,1168,79,25,35,31,,4,
"Choza o cabaña (005)",573,498,39,31,428,75,,,75,
"Vivienda improvisada (006)",14,8,3,4,1,6,,,6,
"Local no dest.para hab. humana (007)",7,7,7,,,,,,,
"Otro tipo (008)",4,4,4,,,,,,,
,,,,,,,,,,
"URBANA (009)",10482,9843,9000,610,233,639,89,181,350,19
"Casa independiente (010)",8804,8221,7503,515,203,583,45,181,339,18
"Departamento en edificio (011)",117,105,97,6,2,12,12,,,
"Vivienda en quinta (012)",234,231,223,6,2,3,1,,1,1
"Vivienda en casa de vecindad (013)",1307,1272,1168,79,25,35,31,,4,
"Vivienda improvisada (015)",14,8,3,4,1,6,,,6,
"Local no dest.para hab. humana (016)",3,3,3,,,,,,,
"Otro tipo (017)",3,3,3,,,,,,,
,,,,,,,,,,
"RURAL (018)",7793,7209,4044,497,2668,584,15,99,458,12
"Casa independiente (019)",7215,6706,4000,466,2240,509,15,99,383,12
"Choza o cabaña (023)",573,498,39,31,428,75,,,75,
"Local no dest.para hab. humana (025)",4,4,4,,,,,,,
"Otro tipo (026)",1,1,1,,,,,,,
