"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia LUCANAS (000)",23947,77575,67743,,1009,87.3,1.3
"De 12 a 14 años (001)",2227,13,13,,1,100,7.7
"De 15 a 19 años (002)",2785,482,466,126,96.7,26.1,
"De 20 a 24 años (003)",2353,2028,1977,243,97.5,12,
"De 25 a 29 años (004)",2162,3590,3434,229,95.7,6.4,
"De 30 a 34 años (005)",1993,4949,4739,185,95.8,3.7,
"De 35 a 39 años (006)",1910,6470,6134,147,94.8,2.3,
"De 40 a 44 años (007)",1778,7686,7104,65,92.4,0.8,
"De 45 a 49 años (008)",1475,7446,6767,13,90.9,0.2,
"De 50 y más años (009)",7264,44911,37109,,82.6,,
"PEA (010)",7680,25366,22644,276,89.3,1.1,
"De 12 a 14 años (011)",82,6,6,1,100,16.7,
"De 15 a 19 años (012)",429,97,96,26,99,26.8,
"De 20 a 24 años (013)",753,546,540,56,98.9,10.3,
"De 25 a 29 años (014)",894,1207,1163,65,96.4,5.4,
"De 30 a 34 años (015)",854,1726,1657,49,96,2.8,
"De 35 a 39 años (016)",951,2806,2679,58,95.5,2.1,
"De 40 a 44 años (017)",832,3117,2920,17,93.7,0.5,
"De 45 a 49 años (018)",653,2689,2481,4,92.3,0.1,
"De 50 y más años (019)",2232,13172,11102,,84.3,,
"Ocupada (020)",7422,24932,22231,265,89.2,1.1,
"De 12 a 14 años (021)",76,6,6,1,100,16.7,
"De 15 a 19 años (022)",389,94,93,25,98.9,26.6,
"De 20 a 24 años (023)",687,510,506,52,99.2,10.2,
"De 25 a 29 años (024)",847,1164,1120,63,96.2,5.4,
"De 30 a 34 años (025)",826,1672,1606,46,96.1,2.8,
"De 35 a 39 años (026)",922,2714,2590,58,95.4,2.1,
"De 40 a 44 años (027)",819,3085,2889,16,93.6,0.5,
"De 45 a 49 años (028)",643,2630,2424,4,92.2,0.2,
"De 50 y más años (029)",2213,13057,10997,,84.2,,
"Desocupada (030)",258,434,413,11,95.2,2.5,
"De 12 a 14 años (031)",6,,,,,,
"De 15 a 19 años (032)",40,3,3,1,100,33.3,
"De 20 a 24 años (033)",66,36,34,4,94.4,11.1,
"De 25 a 29 años (034)",47,43,43,2,100,4.7,
"De 30 a 34 años (035)",28,54,51,3,94.4,5.6,
