"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SANTA CRUZ (000)",11122,9427,643,250,802
"Empleado (001)",1646,439,318,212,677
"Obrero (002)",1387,1181,86,29,91
"Trabajador independiente (003)",5415,5285,130,,
"Empleador o patrono (004)",233,213,18,1,1
"Trabajador familiar no remunerado (005)",2228,2096,91,8,33
"Trabajador del hogar (006)",213,213,,,
"De 06 a 14 años (008)",121,112,8,1,
"Empleado (009)",4,3,,1,
"Obrero (010)",13,11,2,,
"Trabajador independiente (011)",26,25,1,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",68,63,5,,
"Trabajador del hogar (014)",9,9,,,
"De 15 a 29 años (016)",3033,2746,140,38,109
"Empleado (017)",264,106,42,27,89
"Obrero (018)",490,442,23,9,16
"Trabajador independiente (019)",1156,1126,30,,
"Empleador o patrono (020)",48,45,3,,
"Trabajador familiar no remunerado (021)",954,906,42,2,4
"Trabajador del hogar (022)",121,121,,,
"De 30 a 44 años (024)",3863,3011,308,114,430
"Empleado (025)",909,214,200,104,391
"Obrero (026)",422,346,36,9,31
"Trabajador independiente (027)",1856,1813,43,,
"Empleador o patrono (028)",79,72,6,,1
"Trabajador familiar no remunerado (029)",551,520,23,1,7
"Trabajador del hogar (030)",46,46,,,
"De 45 a 64 años (032)",2953,2468,158,92,235
"Empleado (033)",449,104,76,78,191
"Obrero (034)",337,277,22,8,30
"Trabajador independiente (035)",1614,1573,41,,
"Empleador o patrono (036)",70,64,5,1,
"Trabajador familiar no remunerado (037)",452,419,14,5,14
"Trabajador del hogar (038)",31,31,,,
"De 65 y más años (040)",1152,1090,29,5,28
"Empleado (041)",20,12,,2,6
"Obrero (042)",125,105,3,3,14
"Trabajador independiente (043)",763,748,15,,
"Empleador o patrono (044)",35,31,4,,
"Trabajador familiar no remunerado (045)",203,188,7,,8
"Trabajador del hogar (046)",6,6,,,
,,,,,
"URBANA (048)",3066,2005,325,200,536
"Empleado (049)",1178,293,208,175,502
"Obrero (050)",357,261,46,21,29
"Trabajador independiente (051)",1162,1111,51,,
"Empleador o patrono (052)",42,32,8,1,1
"Trabajador familiar no remunerado (053)",219,200,12,3,4
"Trabajador del hogar (054)",108,108,,,
