"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia YUNGUYO (000)",22371,12807,109,174,8748,223,5,47,3,255
"Hombres (001)",9289,6624,73,89,2211,103,4,32,3,150
"Mujeres (002)",13082,6183,36,85,6537,120,1,15,,105
"De 06 a 14 años (003)",9185,8903,,,156,66,,10,,50
"Hombres (004)",4643,4509,,,71,32,,6,,25
"Mujeres (005)",4542,4394,,,85,34,,4,,25
"De 15 a 29 años (006)",6016,3792,7,54,2080,,,11,3,69
"Hombres (007)",2676,2053,4,26,540,,,7,3,43
"Mujeres (008)",3340,1739,3,28,1540,,,4,,26
"De 30 a 44 años (009)",2441,94,11,38,2247,,1,9,,41
"Hombres (010)",566,56,6,17,449,,1,8,,29
"Mujeres (011)",1875,38,5,21,1798,,,1,,12
"De 45 a 64 años (012)",2510,16,39,46,2357,,4,7,,41
"Hombres (013)",627,6,28,29,531,,3,5,,25
"Mujeres (014)",1883,10,11,17,1826,,1,2,,16
"De 65 y más años (015)",2219,2,52,36,1908,157,,10,,54
"Hombres (016)",777,,35,17,620,71,,6,,28
"Mujeres (017)",1442,2,17,19,1288,86,,4,,26
,,,,,,,,,,
"AREA URBANA (018)",8470,4847,92,121,3129,110,4,16,2,149
"Hombres (019)",3677,2476,58,62,912,52,3,14,2,98
"Mujeres (020)",4793,2371,34,59,2217,58,1,2,,51
"De 06 a 14 años (021)",3330,3168,,,97,36,,3,,26
"Hombres (022)",1679,1599,,,44,18,,3,,15
"Mujeres (023)",1651,1569,,,53,18,,,,11
"De 15 a 29 años (024)",2556,1613,7,34,848,,,3,2,49
"Hombres (025)",1153,835,4,14,265,,,3,2,30
"Mujeres (026)",1403,778,3,20,583,,,,,19
"De 30 a 44 años (027)",1072,60,10,29,936,,1,7,,29
"Hombres (028)",335,38,5,15,248,,1,6,,22
"Mujeres (029)",737,22,5,14,688,,,1,,7
"De 45 a 64 años (030)",908,5,34,37,807,,3,,,22
"Hombres (031)",284,4,23,23,216,,2,,,16
"Mujeres (032)",624,1,11,14,591,,1,,,6
"De 65 y más años (033)",604,1,41,21,441,74,,3,,23
"Hombres (034)",226,,26,10,139,34,,2,,15
"Mujeres (035)",378,1,15,11,302,40,,1,,8
,,,,,,,,,,
"AREA RURAL (036)",13901,7960,17,53,5619,113,1,31,1,106
"Hombres (037)",5612,4148,15,27,1299,51,1,18,1,52
"Mujeres (038)",8289,3812,2,26,4320,62,,13,,54
"De 06 a 14 años (039)",5855,5735,,,59,30,,7,,24
"Hombres (040)",2964,2910,,,27,14,,3,,10
"Mujeres (041)",2891,2825,,,32,16,,4,,14
"De 15 a 29 años (042)",3460,2179,,20,1232,,,8,1,20
"Hombres (043)",1523,1218,,12,275,,,4,1,13
"Mujeres (044)",1937,961,,8,957,,,4,,7
"De 30 a 44 años (045)",1369,34,1,9,1311,,,2,,12
"Hombres (046)",231,18,1,2,201,,,2,,7
"Mujeres (047)",1138,16,,7,1110,,,,,5
"De 45 a 64 años (048)",1602,11,5,9,1550,,1,7,,19
"Hombres (049)",343,2,5,6,315,,1,5,,9
"Mujeres (050)",1259,9,,3,1235,,,2,,10
"De 65 y más años (051)",1615,1,11,15,1467,83,,7,,31
"Hombres (052)",551,,9,7,481,37,,4,,13
"Mujeres (053)",1064,1,2,8,986,46,,3,,18
