"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PACASMAYO (000)",94377,13220,19130,5944,56607
"Menos de 1 año (001)",1672,713,314,59,589
"De 1 a 14 años (002)",25334,7388,4883,1143,12006
"De 15 a 29 años (003)",23928,2348,2800,1308,17602
"De 30 a 44 años (004)",19800,1333,3962,1361,13339
"De 45 a 64 años (005)",16555,1010,4067,1442,10132
"De 65 y mas años (006)",7088,428,3104,631,2939
"Hombres (008)",46661,6223,9437,3322,28039
"Menos de 1 año (009)",873,369,156,37,312
"De 1 a 14 años (010)",12703,3756,2420,552,6008
"De 15 a 29 años (011)",11803,908,1369,772,8860
"De 30 a 44 años (012)",9512,514,1912,799,6433
"De 45 a 64 años (013)",8204,473,1903,805,5089
"De 65 y mas años (014)",3566,203,1677,357,1337
"Mujeres (016)",47716,6997,9693,2622,28568
"Menos de 1 año (017)",799,344,158,22,277
"De 1 a 14 años (018)",12631,3632,2463,591,5998
"De 15 a 29 años (019)",12125,1440,1431,536,8742
"De 30 a 44 años (020)",10288,819,2050,562,6906
"De 45 a 64 años (021)",8351,537,2164,637,5043
"De 65 y mas años (022)",3522,225,1427,274,1602
,,,,,
"URBANA (024)",87718,12190,18494,5826,51728
"Menos de 1 año (025)",1549,645,307,58,542
"De 1 a 14 años (026)",23420,6706,4780,1138,10881
"De 15 a 29 años (027)",22133,2177,2741,1288,16057
"De 30 a 44 años (028)",18579,1272,3882,1337,12282
"De 45 a 64 años (029)",15411,979,3896,1390,9241
"De 65 y mas años (030)",6626,411,2888,615,2725
"Hombres (032)",43227,5732,9110,3248,25494
"Menos de 1 año (033)",804,333,152,36,284
"De 1 a 14 años (034)",11734,3405,2375,549,5438
"De 15 a 29 años (035)",10879,850,1339,759,8037
"De 30 a 44 años (036)",8895,492,1876,782,5890
"De 45 a 64 años (037)",7601,458,1817,776,4615
"De 65 y mas años (038)",3314,194,1551,346,1230
"Mujeres (040)",44491,6458,9384,2578,26234
"Menos de 1 año (041)",745,312,155,22,258
"De 1 a 14 años (042)",11686,3301,2405,589,5443
"De 15 a 29 años (043)",11254,1327,1402,529,8020
"De 30 a 44 años (044)",9684,780,2006,555,6392
"De 45 a 64 años (045)",7810,521,2079,614,4626
"De 65 y mas años (046)",3312,217,1337,269,1495
,,,,,
"RURAL (048)",6659,1030,636,118,4879
"Menos de 1 año (049)",123,68,7,1,47
"De 1 a 14 años (050)",1914,682,103,5,1125
"De 15 a 29 años (051)",1795,171,59,20,1545
"De 30 a 44 años (052)",1221,61,80,24,1057
"De 45 a 64 años (053)",1144,31,171,52,891
"De 65 y mas años (054)",462,17,216,16,214
"Hombres (056)",3434,491,327,74,2545
"Menos de 1 año (057)",69,36,4,1,28
"De 1 a 14 años (058)",969,351,45,3,570
"De 15 a 29 años (059)",924,58,30,13,823
"De 30 a 44 años (060)",617,22,36,17,543
"De 45 a 64 años (061)",603,15,86,29,474
"De 65 y mas años (062)",252,9,126,11,107
"Mujeres (064)",3225,539,309,44,2334
"Menos de 1 año (065)",54,32,3,,19
"De 1 a 14 años (066)",945,331,58,2,555
"De 15 a 29 años (067)",871,113,29,7,722
"De 30 a 44 años (068)",604,39,44,7,514
"De 45 a 64 años (069)",541,16,85,23,417
"De 65 y mas años (070)",210,8,90,5,107
