"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia JULCAN",,,,,,
"Viviendas particulares (001)",8163,8052,101,9,1,
"Ocupantes presentes (002)",32928,32003,801,106,18,
"Casa independiente",,,,,,
"Viviendas particulares (004)",8060,7949,101,9,1,
"Ocupantes presentes (005)",32552,31627,801,106,18,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",7,7,,,,
"Ocupantes presentes (014)",20,20,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",96,96,,,,
"Ocupantes presentes (017)",356,356,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Otro tipo",,,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",1356,1311,42,3,,
"Ocupantes presentes (029)",4829,4479,314,36,,
"Casa independiente",,,,,,
"Viviendas particulares (031)",1349,1304,42,3,,
"Ocupantes presentes (032)",4809,4459,314,36,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",7,7,,,,
"Ocupantes presentes (041)",20,20,,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",6807,6741,59,6,1,
"Ocupantes presentes (056)",28099,27524,487,70,18,
"Casa independiente",,,,,,
"Viviendas particulares (058)",6711,6645,59,6,1,
"Ocupantes presentes (059)",27743,27168,487,70,18,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",96,96,,,,
"Ocupantes presentes (071)",356,356,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Otro tipo",,,,,,
