"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia UCAYALI (000)",20353,470,17,9111,7719,648,1386,337,665
"Agric., ganadería, caza y silvicultura (001)",12047,382,10,7001,4383,108,93,38,32
"Pesca (002)",754,13,,405,321,5,5,3,2
"Explotación de minas y canteras (003)",73,,,10,29,12,7,6,9
"Industrias manufactureras (004)",922,34,,330,457,40,28,19,14
"Suministro de electricidad, gas y agua (005)",22,,1,10,10,1,,,
"Construcción (006)",319,,,55,208,19,15,9,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1691,13,3,513,880,106,89,49,38
"Venta, mant.y rep. veh.autom.y motoc. (008)",111,,,21,67,8,11,1,3
"Comercio al por mayor (009)",66,,,14,37,7,4,2,2
"Comercio al por menor (010)",1514,13,3,478,776,91,74,46,33
"Hoteles y restaurantes (011)",431,3,,174,216,19,8,5,6
"Trans., almac. y comunicaciones (012)",565,3,1,108,328,56,31,23,15
"Intermediación financiera (013)",4,,,,,,2,,2
"Activid.inmobil., empres. y de alquiler (014)",182,1,,11,61,29,32,17,31
"Admin.pub. y defensa; p. segur.soc.afil (015)",399,,,32,140,27,101,42,57
"Enseñanza (016)",1474,,,1,58,141,854,76,344
"Servicios sociales y de salud (017)",162,,,8,31,13,52,11,47
"Otras activ. serv.comun.soc y personales (018)",185,,1,44,89,15,17,12,7
"Hogares privados con servicio doméstico (019)",440,5,,183,230,10,3,5,4
"Actividad economica no especificada (021)",683,16,1,226,278,47,49,22,44
"Hombres (022)",14353,237,11,6292,5848,469,820,238,438
"Agric., ganadería, caza y silvicultura (023)",9249,208,7,5150,3636,100,83,36,29
"Pesca (024)",711,12,,376,308,5,5,3,2
"Explotación de minas y canteras (025)",72,,,10,28,12,7,6,9
"Industrias manufactureras (026)",556,4,,161,315,32,17,16,11
"Suministro de electricidad, gas y agua (027)",20,,,9,10,1,,,
"Construcción (028)",313,,,51,207,19,14,9,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",963,4,2,235,536,70,56,33,27
"Venta, mant.y rep. veh.autom.y motoc. (030)",107,,,20,64,8,11,1,3
"Comercio al por mayor (031)",44,,,9,25,4,3,2,1
"Comercio al por menor (032)",812,4,2,206,447,58,42,30,23
"Hoteles y restaurantes (033)",90,,,32,46,7,3,1,1
"Trans., almac. y comunicaciones (034)",539,3,1,106,312,54,30,19,14
"Intermediación financiera (035)",3,,,,,,2,,1
"Activid.inmobil., empres. y de alquiler (036)",164,1,,11,55,27,28,15,27
"Admin.pub. y defensa; p. segur.soc.afil (037)",308,,,19,109,23,76,35,46
"Enseñanza (038)",770,,,,34,71,434,39,192
"Servicios sociales y de salud (039)",83,,,1,13,9,24,8,28
"Otras activ. serv.comun.soc y personales (040)",108,,,19,55,10,11,7,6
"Hogares privados con servicio doméstico (041)",37,1,,13,20,1,1,,1
"Actividad economica no especificada (043)",367,4,1,99,164,28,29,11,31
"Mujeres (044)",6000,233,6,2819,1871,179,566,99,227
"Agric., ganadería, caza y silvicultura (045)",2798,174,3,1851,747,8,10,2,3
