"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MELGAR (000)",28102,27101,8777,3319,3247,2643,4027,2665,1462,961,1001,75625
"De 12 a 14 años (001)",2987,2975,2962,10,3,,,,,,12,16
"De 15 a 19 años (002)",3933,3881,3507,329,38,3,4,,,,52,430
"De 20 a 24 años (003)",3113,2758,1172,973,455,124,33,1,,,355,2395
"De 25 a 29 años (004)",2715,2444,379,736,680,382,239,24,4,,271,4444
"De 30 a 34 años (005)",2530,2415,187,389,661,506,528,125,17,2,115,6489
"De 35 a 39 años (006)",2363,2306,115,254,432,456,639,297,93,20,57,8168
"De 40 a 44 años (007)",2130,2104,90,142,289,338,621,372,181,71,26,9149
"De 45 a 49 años (008)",1702,1684,69,99,187,222,447,370,199,91,18,8167
"De 50 y más años (009)",6629,6534,296,387,502,612,1516,1476,968,777,95,36367
"PEA (010)",10435,9998,1650,1493,1571,1237,1852,1214,616,365,437,33522
"De 12 a 14 años (011)",106,104,101,3,,,,,,,2,3
"De 15 a 19 años (012)",656,648,514,116,15,2,1,,,,8,156
"De 20 a 24 años (013)",1209,1070,448,387,171,54,9,1,,,139,934
"De 25 a 29 años (014)",1233,1094,221,312,285,158,105,12,1,,139,1880
"De 30 a 34 años (015)",1229,1167,116,203,332,220,225,62,9,,62,2969
"De 35 a 39 años (016)",1246,1207,69,163,252,225,307,151,35,5,39,3996
"De 40 a 44 años (017)",1123,1106,36,94,187,193,307,182,75,32,17,4538
"De 45 a 49 años (018)",927,919,37,58,112,121,246,198,96,51,8,4358
"De 50 y más años (019)",2706,2683,108,157,217,264,652,608,400,277,23,14688
"Ocupada (020)",9956,9573,1461,1400,1518,1208,1819,1196,608,363,383,32885
"De 12 a 14 años (021)",102,100,97,3,,,,,,,2,3
