"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Servicios sociales y de salud (040)",65,,16,33,14,2
"Otras activ. serv.comun.soc y personales (041)",164,16,74,57,15,2
"Hogares privados con servicio doméstico (042)",27,2,15,3,6,1
"Actividad economica no especificada (044)",195,4,75,69,40,7
"Desocupado (045)",797,10,406,251,116,14
"Mujeres (046)",9716,244,3136,3207,2306,823
"Agric., ganadería, caza y silvicultura (047)",5719,164,1577,1659,1643,676
"Pesca (048)",3,,2,1,,
"Explotación de minas y canteras (049)",55,,28,17,10,
"Industrias manufactureras (050)",243,4,85,79,49,26
"Suministro de electricidad, gas y agua (051)",2,,2,,,
"Construcción (052)",101,,56,34,11,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",1571,19,442,696,343,71
"Venta, mant.y rep. veh.autom.y motoc. (054)",20,,10,7,3,
"Comercio al por mayor (055)",50,,17,26,7,
"Comercio al por menor (056)",1501,19,415,663,333,71
"Hoteles y restaurantes (057)",505,19,209,176,87,14
"Trans., almac. y comunicaciones (058)",68,6,45,13,4,
"Intermediación financiera (059)",4,,3,1,,
"Activid.inmobil., empres. y alquileres (060)",72,,33,34,5,
"Admin.pub. y defensa; p. segur.soc afil (061)",78,,45,27,6,
"Enseñanza (062)",451,1,143,246,61,
"Servicios sociales y de salud (063)",81,,31,40,9,1
"Otras activ. serv.comun.soc y personales (064)",108,,47,38,19,4
"Hogares privados con servicio doméstico (065)",213,22,142,21,19,9
"Organiz. y organos extraterritoriales (066)",1,,1,,,
"Actividad economica no especificada (067)",163,1,70,50,27,15
"Desocupado (068)",278,8,175,75,13,7
,,,,,,
"URBANA (069)",10227,193,3615,3997,2130,292
"Agric., ganadería, caza y silvicultura (070)",1124,28,305,382,321,88
"Pesca (071)",3,,2,1,,
"Explotación de minas y canteras (072)",1041,1,328,416,295,1
"Industrias manufactureras (073)",478,11,201,148,87,31
"Suministro de electricidad, gas y agua (074)",18,,11,4,3,
"Construcción (075)",1003,10,407,396,180,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",2227,48,650,932,494,103
"Venta, mant.y rep. veh.autom.y motoc. (077)",206,4,109,65,25,3
"Comercio al por mayor (078)",85,,27,42,15,1
"Comercio al por menor (079)",1936,44,514,825,454,99
"Hoteles y restaurantes (080)",596,29,251,200,104,12
"Trans., almac. y comunicaciones (081)",690,17,275,263,131,4
"Intermediación financiera (082)",11,,6,4,1,
"Activid.inmobil., empres. y alquileres (083)",309,,123,133,50,3
"Admin.pub. y defensa; p. segur.soc afil (084)",339,,122,149,63,5
"Enseñanza (085)",894,,181,492,218,3
"Servicios sociales y de salud (086)",136,,45,67,22,2
"Otras activ. serv.comun.soc y personales (087)",244,16,110,84,28,6
"Hogares privados con servicio doméstico (088)",171,19,113,21,14,4
"Organiz. y organos extraterritoriales (089)",1,,1,,,
"Actividad economica no especificada (090)",206,4,95,68,30,9
"Desocupado (091)",736,10,389,237,89,11
"Hombres (092)",6430,115,2240,2464,1444,167
"Agric., ganadería, caza y silvicultura (093)",685,18,175,224,203,65
"Pesca (094)",2,,1,1,,
"Explotación de minas y canteras (095)",988,1,301,399,286,1
"Industrias manufactureras (096)",341,8,148,101,63,21
"Suministro de electricidad, gas y agua (097)",16,,9,4,3,
"Construcción (098)",956,10,389,374,173,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",794,29,262,285,176,42
"Venta, mant.y rep. veh.autom.y motoc. (100)",186,4,99,58,22,3
"Comercio al por mayor (101)",36,,10,17,8,1
"Comercio al por menor (102)",572,25,153,210,146,38
"Hoteles y restaurantes (103)",158,11,78,46,22,1
"Trans., almac. y comunicaciones (104)",623,11,231,250,127,4
"Intermediación financiera (105)",7,,3,3,1,
"Activid.inmobil., empres. y alquileres (106)",240,,92,99,46,3
"Admin.pub. y defensa; p. segur.soc afil (107)",271,,86,123,57,5
"Enseñanza (108)",482,,65,255,159,3
"Servicios sociales y de salud (109)",61,,16,31,13,1
"Otras activ. serv.comun.soc y personales (110)",143,16,63,50,12,2
"Hogares privados con servicio doméstico (111)",20,2,13,2,3,
"Actividad economica no especificada (113)",127,3,51,46,22,5
"Desocupado (114)",516,6,257,171,78,4
"Mujeres (115)",3797,78,1375,1533,686,125
"Agric., ganadería, caza y silvicultura (116)",439,10,130,158,118,23
"Pesca (117)",1,,1,,,
"Explotación de minas y canteras (118)",53,,27,17,9,
"Industrias manufactureras (119)",137,3,53,47,24,10
"Suministro de electricidad, gas y agua (120)",2,,2,,,
"Construcción (121)",47,,18,22,7,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",1433,19,388,647,318,61
"Venta, mant.y rep. veh.autom.y motoc. (123)",20,,10,7,3,
"Comercio al por mayor (124)",49,,17,25,7,
"Comercio al por menor (125)",1364,19,361,615,308,61
"Hoteles y restaurantes (126)",438,18,173,154,82,11
"Trans., almac. y comunicaciones (127)",67,6,44,13,4,
"Intermediación financiera (128)",4,,3,1,,
"Activid.inmobil., empres. y alquileres (129)",69,,31,34,4,
"Admin.pub. y defensa; p. segur.soc afil (130)",68,,36,26,6,
"Enseñanza (131)",412,,116,237,59,
"Servicios sociales y de salud (132)",75,,29,36,9,1
"Otras activ. serv.comun.soc y personales (133)",101,,47,34,16,4
"Hogares privados con servicio doméstico (134)",151,17,100,19,11,4
"Organiz. y organos extraterritoriales (135)",1,,1,,,
"Actividad economica no especificada (136)",79,1,44,22,8,4
"Desocupado (137)",220,4,132,66,11,7
,,,,,,
"RURAL (138)",13712,339,3784,4047,3864,1678
"Agric., ganadería, caza y silvicultura (139)",10874,317,2656,3048,3288,1565
"Pesca (140)",12,,5,3,4,
"Explotación de minas y canteras (141)",167,1,93,51,20,2
"Industrias manufactureras (142)",334,1,99,106,89,39
"Suministro de electricidad, gas y agua (143)",18,,4,8,5,1
"Construcción (144)",944,1,322,381,221,19
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",305,2,110,105,71,17
"Venta, mant.y rep. veh.autom.y motoc. (146)",28,,14,10,4,
"Comercio al por mayor (147)",9,,1,7,1,
"Comercio al por menor (148)",268,2,95,88,66,17
"Hoteles y restaurantes (149)",105,1,64,28,8,4
"Trans., almac. y comunicaciones (150)",102,1,48,36,17,
"Activid.inmobil., empres. y alquileres (152)",33,,13,16,4,
"Admin.pub. y defensa; p. segur.soc afil (153)",104,,31,57,16,
"Enseñanza (154)",116,1,40,48,26,1
"Servicios sociales y de salud (155)",10,,2,6,1,1
"Otras activ. serv.comun.soc y personales (156)",28,,11,11,6,
"Hogares privados con servicio doméstico (157)",69,5,44,3,11,6
"Actividad economica no especificada (159)",152,1,50,51,37,13
"Desocupado (160)",339,8,192,89,40,10
"Hombres (161)",7793,173,2023,2373,2244,980
"Agric., ganadería, caza y silvicultura (162)",5594,163,1209,1547,1763,912
"Pesca (163)",10,,4,2,4,
"Explotación de minas y canteras (164)",165,1,92,51,19,2
"Industrias manufactureras (165)",228,,67,74,64,23
"Suministro de electricidad, gas y agua (166)",18,,4,8,5,1
"Construcción (167)",890,1,284,369,217,19
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",167,2,56,56,46,7
"Venta, mant.y rep. veh.autom.y motoc. (169)",28,,14,10,4,
"Comercio al por mayor (170)",8,,1,6,1,
"Comercio al por menor (171)",131,2,41,40,41,7
"Hoteles y restaurantes (172)",38,,28,6,3,1
"Trans., almac. y comunicaciones (173)",101,1,47,36,17,
"Activid.inmobil., empres. y alquileres (175)",30,,11,16,3,
"Admin.pub. y defensa; p. segur.soc afil (176)",94,,22,56,16,
"Enseñanza (177)",77,,13,39,24,1
"Servicios sociales y de salud (178)",4,,,2,1,1
"Otras activ. serv.comun.soc y personales (179)",21,,11,7,3,
"Hogares privados con servicio doméstico (180)",7,,2,1,3,1
"Actividad economica no especificada (182)",68,1,24,23,18,2
"Desocupado (183)",281,4,149,80,38,10
"Mujeres (184)",5919,166,1761,1674,1620,698
"Agric., ganadería, caza y silvicultura (185)",5280,154,1447,1501,1525,653
"Pesca (186)",2,,1,1,,
"Explotación de minas y canteras (187)",2,,1,,1,
"Industrias manufactureras (188)",106,1,32,32,25,16
"Construcción (190)",54,,38,12,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",138,,54,49,25,10
"Comercio al por mayor (193)",1,,,1,,
"Comercio al por menor (194)",137,,54,48,25,10
"Hoteles y restaurantes (195)",67,1,36,22,5,3
"Trans., almac. y comunicaciones (196)",1,,1,,,
"Activid.inmobil., empres. y alquileres (198)",3,,2,,1,
"Admin.pub. y defensa; p. segur.soc afil (199)",10,,9,1,,
"Enseñanza (200)",39,1,27,9,2,
"Servicios sociales y de salud (201)",6,,2,4,,
"Otras activ. serv.comun.soc y personales (202)",7,,,4,3,
"Hogares privados con servicio doméstico (203)",62,5,42,2,8,5
"Actividad economica no especificada (205)",84,,26,28,19,11
"Desocupado (206)",58,4,43,9,2,
