"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHINCHA (000)",78464,820,27812,28795,18030,3007
"Agric., ganadería, caza y silvicultura (001)",12636,111,3941,4234,3398,952
"Pesca (002)",439,,88,190,141,20
"Explotación de minas y canteras (003)",471,,201,214,54,2
"Industrias manufactureras (004)",15187,89,7476,5548,1809,265
"Suministro de electricidad, gas y agua (005)",163,4,40,60,50,9
"Construcción (006)",5503,103,1975,1882,1375,168
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",13556,267,4019,4832,3697,741
"Venta, mant.y rep. veh.autom.y motoc. (008)",1522,9,571,503,375,64
"Comercio al por mayor (009)",1319,13,507,524,232,43
"Comercio al por menor (010)",10715,245,2941,3805,3090,634
"Hoteles y restaurantes (011)",2620,52,838,854,747,129
"Trans., almac. y comunicaciones (012)",6673,59,2302,2538,1607,167
"Intermediación financiera (013)",369,,160,162,46,1
"Activid.inmobil., empres. y alquileres (014)",3511,4,1258,1437,739,73
"Admin.pub. y defensa; p. segur.soc afil (015)",1886,,499,787,568,32
"Enseñanza (016)",5132,,927,2677,1457,71
"Servicios sociales y de salud (017)",1559,1,360,633,533,32
"Otras activ. serv.comun.soc y personales (018)",1776,37,608,603,440,88
"Hogares privados con servicio doméstico (019)",1613,37,600,512,409,55
"Organiz. y organos extraterritoriales (020)",3,,2,1,,
"Actividad economica no especificada (021)",2221,14,818,814,479,96
"Desocupado (022)",3146,42,1700,817,481,106
"Hombres (023)",50843,559,18198,17976,11961,2149
"Agric., ganadería, caza y silvicultura (024)",9586,83,3028,3069,2638,768
"Pesca (025)",422,,82,180,140,20
"Explotación de minas y canteras (026)",447,,183,209,53,2
"Industrias manufactureras (027)",8979,56,4515,3034,1165,209
"Suministro de electricidad, gas y agua (028)",147,3,35,55,45,9
"Construcción (029)",5405,101,1938,1843,1357,166
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",6992,161,2266,2389,1784,392
"Venta, mant.y rep. veh.autom.y motoc. (031)",1420,9,519,468,361,63
"Comercio al por mayor (032)",838,9,341,323,135,30
"Comercio al por menor (033)",4734,143,1406,1598,1288,299
"Hoteles y restaurantes (034)",901,15,344,271,232,39
"Trans., almac. y comunicaciones (035)",6416,57,2156,2460,1578,165
"Intermediación financiera (036)",192,,73,87,32,
"Activid.inmobil., empres. y alquileres (037)",2728,4,871,1154,632,67
