"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PACASMAYO (000)",27303,392,9577,8456,3471,1304,539,163,25,,3376
"Sin Nivel (001)",3595,97,1572,983,339,132,76,29,4,,363
"Educación Inicial (002)",43,2,15,13,2,1,,,,,10
"Primaria (003)",8045,192,3566,2379,733,276,132,50,5,,712
"Secundaria (004)",7436,73,2880,2391,836,280,108,25,8,,835
"Sup. no Univ. Incompleta (005)",1648,9,368,654,213,75,27,5,3,,294
"Sup. no Univ. Completa (006)",3804,9,679,1260,840,279,96,30,3,,608
"Sup. Univ. Incompleta (007)",727,,181,217,99,42,18,3,,,167
"Sup. Univ. Completa (008)",2005,10,316,559,409,219,82,21,2,,387
,,,,,,,,,,,
"URBANA (010)",25494,346,8718,7901,3332,1252,522,162,25,,3236
"Sin Nivel (011)",3146,82,1358,834,314,117,70,29,4,,338
"Educación Inicial (012)",39,2,13,13,2,1,,,,,8
"Primaria (013)",7258,168,3147,2168,678,251,127,49,5,,665
"Secundaria (014)",7031,66,2695,2257,804,270,105,25,8,,801
"Sup. no Univ. Incompleta (015)",1606,9,354,638,209,75,27,5,3,,286
"Sup. no Univ. Completa (016)",3701,9,662,1218,818,277,93,30,3,,591
"Sup. Univ. Incompleta (017)",714,,175,216,98,42,18,3,,,162
"Sup. Univ. Completa (018)",1999,10,314,557,409,219,82,21,2,,385
,,,,,,,,,,,
"RURAL (020)",1809,46,859,555,139,52,17,1,,,140
"Sin Nivel (021)",449,15,214,149,25,15,6,,,,25
"Educación Inicial (022)",4,,2,,,,,,,,2
"Primaria (023)",787,24,419,211,55,25,5,1,,,47
"Secundaria (024)",405,7,185,134,32,10,3,,,,34
"Sup. no Univ. Incompleta (025)",42,,14,16,4,,,,,,8
"Sup. no Univ. Completa (026)",103,,17,42,22,2,3,,,,17
"Sup. Univ. Incompleta (027)",13,,6,1,1,,,,,,5
"Sup. Univ. Completa (028)",6,,2,2,,,,,,,2
