"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ANDAHUAYLAS (000)",1993,37,872,680,314,90
"Sin nivel (001)",209,6,23,59,79,42
"Educación inicial (002)",4,2,,2,,
"Primaria (003)",718,10,198,303,169,38
"Secundaria (004)",775,19,478,223,47,8
"Superior no univ. incompleta (005)",52,,39,10,3,
"Superior no univ. completa (006)",66,,38,26,2,
"Superior univ. incompleta (007)",70,,48,17,5,
"Superior univ. completa (008)",99,,48,40,9,2
"Hombres (010)",1506,23,601,544,261,77
"Sin nivel (011)",147,5,13,38,58,33
"Educación inicial (012)",1,,,1,,
"Primaria (013)",597,6,154,254,149,34
"Secundaria (014)",605,12,347,194,44,8
"Superior no univ. incompleta (015)",22,,16,3,3,
"Superior no univ. completa (016)",40,,23,16,1,
"Superior univ. incompleta (017)",43,,27,14,2,
"Superior univ. completa (018)",51,,21,24,4,2
"Mujeres (020)",487,14,271,136,53,13
"Sin nivel (021)",62,1,10,21,21,9
"Educación inicial (022)",3,2,,1,,
"Primaria (023)",121,4,44,49,20,4
"Secundaria (024)",170,7,131,29,3,
"Superior no univ. incompleta (025)",30,,23,7,,
"Superior no univ. completa (026)",26,,15,10,1,
"Superior univ. incompleta (027)",27,,21,3,3,
"Superior univ. completa (028)",48,,27,16,5,
,,,,,,
"Area Urbana (030)",970,21,473,322,120,34
"Sin nivel (031)",61,3,7,21,21,9
"Educación inicial (032)",3,1,,2,,
"Primaria (033)",228,6,49,99,58,16
"Secundaria (034)",426,11,262,120,25,8
"Superior no univ. incompleta (035)",43,,33,9,1,
"Superior no univ. completa (036)",55,,32,21,2,
"Superior univ. incompleta (037)",63,,45,13,5,
"Superior univ. completa (038)",91,,45,37,8,1
"Hombres (040)",632,14,279,223,87,29
"Sin nivel (041)",35,3,3,8,15,6
"Educación inicial (042)",1,,,1,,
"Primaria (043)",167,5,33,72,43,14
"Secundaria (044)",300,6,168,96,22,8
"Superior no univ. incompleta (045)",15,,12,2,1,
"Superior no univ. completa (046)",33,,19,13,1,
"Superior univ. incompleta (047)",38,,26,10,2,
"Superior univ. completa (048)",43,,18,21,3,1
"Mujeres (050)",338,7,194,99,33,5
"Sin nivel (051)",26,,4,13,6,3
"Educación inicial (052)",2,1,,1,,
"Primaria (053)",61,1,16,27,15,2
"Secundaria (054)",126,5,94,24,3,
"Superior no univ. incompleta (055)",28,,21,7,,
"Superior no univ. completa (056)",22,,13,8,1,
"Superior univ. incompleta (057)",25,,19,3,3,
"Superior univ. completa (058)",48,,27,16,5,
,,,,,,
"Area Rural (060)",1023,16,399,358,194,56
"Sin nivel (061)",148,3,16,38,58,33
"Educación inicial (062)",1,1,,,,
"Primaria (063)",490,4,149,204,111,22
"Secundaria (064)",349,8,216,103,22,
"Superior no univ. incompleta (065)",9,,6,1,2,
"Superior no univ. completa (066)",11,,6,5,,
"Superior univ. incompleta (067)",7,,3,4,,
"Superior univ. completa (068)",8,,3,3,1,1
"Hombres (070)",874,9,322,321,174,48
"Sin nivel (071)",112,2,10,30,43,27
"Primaria (073)",430,1,121,182,106,20
"Secundaria (074)",305,6,179,98,22,
"Superior no univ. incompleta (075)",7,,4,1,2,
"Superior no univ. completa (076)",7,,4,3,,
"Superior univ. incompleta (077)",5,,1,4,,
"Superior univ. completa (078)",8,,3,3,1,1
"Mujeres (080)",149,7,77,37,20,8
"Sin nivel (081)",36,1,6,8,15,6
"Educación inicial (082)",1,1,,,,
"Primaria (083)",60,3,28,22,5,2
"Secundaria (084)",44,2,37,5,,
"Superior no univ. incompleta (085)",2,,2,,,
"Superior no univ. completa (086)",4,,2,2,,
"Superior univ. incompleta (087)",2,,2,,,
