"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SATIPO (000)",178656,10724,50615,40843,29934,21827,13106,6652,4955
"Quechua (001)",18433,126,1323,2502,3419,3829,3146,2144,1944
"Aymara (002)",264,27,56,52,44,40,25,13,7
"Ashaninca (003)",30945,2592,10703,7181,4434,3217,1760,692,366
"Otra lengua nativa (004)",6148,588,2133,1358,930,572,336,150,81
"Castellano (005)",122661,7377,36329,29723,21080,14150,7817,3644,2541
"Idioma extranjero (006)",19,1,,,4,1,4,4,5
"Es sordomudo/a (007)",186,13,71,27,23,18,18,5,11
"Hombres (009)",96093,5505,26146,22087,16304,11838,7367,3881,2965
"Quechua (010)",10248,65,713,1413,1975,2090,1720,1193,1079
"Aymara (011)",165,17,31,34,30,28,14,5,6
"Ashaninca (012)",15858,1304,5412,3744,2273,1623,927,372,203
"Otra lengua nativa (013)",3092,281,1071,701,472,284,170,76,37
"Castellano (014)",66609,3831,18876,16180,11535,7803,4524,2230,1630
"Idioma extranjero (015)",11,1,,,3,,2,2,3
"Es sordomudo/a (016)",110,6,43,15,16,10,10,3,7
"Mujeres (018)",82563,5219,24469,18756,13630,9989,5739,2771,1990
"Quechua (019)",8185,61,610,1089,1444,1739,1426,951,865
"Aymara (020)",99,10,25,18,14,12,11,8,1
"Ashaninca (021)",15087,1288,5291,3437,2161,1594,833,320,163
"Otra lengua nativa (022)",3056,307,1062,657,458,288,166,74,44
"Castellano (023)",56052,3546,17453,13543,9545,6347,3293,1414,911
"Idioma extranjero (024)",8,,,,1,1,2,2,2
"Es sordomudo/a (025)",76,7,28,12,7,8,8,2,4
,,,,,,,,,
"URBANA (027)",50236,2240,12797,11622,8584,6930,4338,2172,1553
"Quechua (028)",3320,5,48,223,466,726,753,554,545
"Aymara (029)",48,2,8,5,5,15,6,4,3
"Ashaninca (030)",2124,141,759,526,288,264,91,37,18
"Otra lengua nativa (031)",139,3,26,58,18,18,9,7,
"Castellano (032)",44560,2087,11936,10805,7802,5905,3474,1568,983
"Idioma extranjero (033)",9,,,,,,3,2,4
"Es sordomudo/a (034)",36,2,20,5,5,2,2,,
"Hombres (036)",25781,1188,6411,5968,4283,3527,2342,1214,848
"Quechua (037)",1663,2,24,112,231,357,386,281,270
"Aymara (038)",30,1,5,2,3,11,3,3,2
"Ashaninca (039)",1068,63,351,282,150,143,53,17,9
"Otra lengua nativa (040)",72,1,13,29,12,9,5,3,
"Castellano (041)",22925,1120,6007,5540,3884,3007,1894,908,565
"Idioma extranjero (042)",5,,,,,,1,2,2
"Es sordomudo/a (043)",18,1,11,3,3,,,,
"Mujeres (045)",24455,1052,6386,5654,4301,3403,1996,958,705
"Quechua (046)",1657,3,24,111,235,369,367,273,275
"Aymara (047)",18,1,3,3,2,4,3,1,1
"Ashaninca (048)",1056,78,408,244,138,121,38,20,9
"Otra lengua nativa (049)",67,2,13,29,6,9,4,4,
"Castellano (050)",21635,967,5929,5265,3918,2898,1580,660,418
"Idioma extranjero (051)",4,,,,,,2,,2
"Es sordomudo/a (052)",18,1,9,2,2,2,2,,
,,,,,,,,,
"RURAL (054)",128420,8484,37818,29221,21350,14897,8768,4480,3402
"Quechua (055)",15113,121,1275,2279,2953,3103,2393,1590,1399
"Aymara (056)",216,25,48,47,39,25,19,9,4
"Ashaninca (057)",28821,2451,9944,6655,4146,2953,1669,655,348
"Otra lengua nativa (058)",6009,585,2107,1300,912,554,327,143,81
"Castellano (059)",78101,5290,24393,18918,13278,8245,4343,2076,1558
"Idioma extranjero (060)",10,1,,,4,1,1,2,1
"Es sordomudo/a (061)",150,11,51,22,18,16,16,5,11
"Hombres (063)",70312,4317,19735,16119,12021,8311,5025,2667,2117
"Quechua (064)",8585,63,689,1301,1744,1733,1334,912,809
"Aymara (065)",135,16,26,32,27,17,11,2,4
"Ashaninca (066)",14790,1241,5061,3462,2123,1480,874,355,194
"Otra lengua nativa (067)",3020,280,1058,672,460,275,165,73,37
"Castellano (068)",43684,2711,12869,10640,7651,4796,2630,1322,1065
"Idioma extranjero (069)",6,1,,,3,,1,,1
"Es sordomudo/a (070)",92,5,32,12,13,10,10,3,7
"Mujeres (072)",58108,4167,18083,13102,9329,6586,3743,1813,1285
"Quechua (073)",6528,58,586,978,1209,1370,1059,678,590
"Aymara (074)",81,9,22,15,12,8,8,7,
"Ashaninca (075)",14031,1210,4883,3193,2023,1473,795,300,154
"Otra lengua nativa (076)",2989,305,1049,628,452,279,162,70,44
"Castellano (077)",34417,2579,11524,8278,5627,3449,1713,754,493
"Idioma extranjero (078)",4,,,,1,1,,2,
"Es sordomudo/a (079)",58,6,19,10,5,6,6,2,4
