"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia FERREÑAFE (000)",69304,11559,13104,13105,11411,8560,11565
"Católica (001)",58392,9731,11082,11084,9601,7194,9700
"Cristiana/Evangélica (002)",8607,1448,1470,1556,1446,1110,1577
"Otra (003)",1086,179,204,204,191,132,176
"Ninguna (004)",1219,201,348,261,173,124,112
"Hombres (006)",34009,6019,6495,6185,5321,4192,5797
"Católica (007)",28888,5093,5532,5252,4487,3574,4950
"Cristiana/Evangélica (008)",3843,712,644,681,635,487,684
"Otra (009)",537,100,110,88,93,56,90
"Ninguna (010)",741,114,209,164,106,75,73
"Mujeres (012)",35295,5540,6609,6920,6090,4368,5768
"Católica (013)",29504,4638,5550,5832,5114,3620,4750
"Cristiana/Evangélica (014)",4764,736,826,875,811,623,893
"Otra (015)",549,79,94,116,98,76,86
"Ninguna (016)",478,87,139,97,67,49,39
,,,,,,,
"URBANA (018)",39469,6210,7222,7295,6693,5198,6851
"Católica (019)",34164,5298,6244,6338,5800,4523,5961
"Cristiana/Evangélica (020)",4091,727,683,717,694,533,737
"Otra (021)",659,110,131,118,114,83,103
"Ninguna (022)",555,75,164,122,85,59,50
"Hombres (024)",19014,3175,3519,3331,3027,2520,3442
"Católica (025)",16547,2718,3055,2901,2620,2225,3028
"Cristiana/Evangélica (026)",1810,356,295,305,303,224,327
"Otra (027)",310,61,68,45,52,32,52
"Ninguna (028)",347,40,101,80,52,39,35
"Mujeres (030)",20455,3035,3703,3964,3666,2678,3409
"Católica (031)",17617,2580,3189,3437,3180,2298,2933
"Cristiana/Evangélica (032)",2281,371,388,412,391,309,410
"Otra (033)",349,49,63,73,62,51,51
"Ninguna (034)",208,35,63,42,33,20,15
,,,,,,,
"RURAL (036)",29835,5349,5882,5810,4718,3362,4714
"Católica (037)",24228,4433,4838,4746,3801,2671,3739
"Cristiana/Evangélica (038)",4516,721,787,839,752,577,840
"Otra (039)",427,69,73,86,77,49,73
"Ninguna (040)",664,126,184,139,88,65,62
"Hombres (042)",14995,2844,2976,2854,2294,1672,2355
"Católica (043)",12341,2375,2477,2351,1867,1349,1922
"Cristiana/Evangélica (044)",2033,356,349,376,332,263,357
"Otra (045)",227,39,42,43,41,24,38
"Ninguna (046)",394,74,108,84,54,36,38
"Mujeres (048)",14840,2505,2906,2956,2424,1690,2359
"Católica (049)",11887,2058,2361,2395,1934,1322,1817
"Cristiana/Evangélica (050)",2483,365,438,463,420,314,483
"Otra (051)",200,30,31,43,36,25,35
"Ninguna (052)",270,52,76,55,34,29,24
