"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CHOTA (000)",73724,10212,22667,19924,20921
"Asiste actualmente (001)",45731,4347,21329,15531,4524
"No asiste (002)",27993,5865,1338,4393,16397
"Hombres (004)",36676,5130,11467,10035,10044
"Asiste actualmente (005)",23864,2186,10813,8260,2605
"No asiste (006)",12812,2944,654,1775,7439
"Mujeres (008)",37048,5082,11200,9889,10877
"Asiste actualmente (009)",21867,2161,10516,7271,1919
"No asiste (010)",15181,2921,684,2618,8958
,,,,,
"URBANA (012)",13576,1669,3887,3878,4142
"Asiste actualmente (013)",10043,987,3754,3542,1760
"No asiste (014)",3533,682,133,336,2382
"Hombres (016)",6724,828,2005,1963,1928
"Asiste actualmente (017)",5108,484,1934,1815,875
"No asiste (018)",1616,344,71,148,1053
"Mujeres (020)",6852,841,1882,1915,2214
"Asiste actualmente (021)",4935,503,1820,1727,885
"No asiste (022)",1917,338,62,188,1329
,,,,,
"RURAL (024)",60148,8543,18780,16046,16779
"Asiste actualmente (025)",35688,3360,17575,11989,2764
"No asiste (026)",24460,5183,1205,4057,14015
"Hombres (028)",29952,4302,9462,8072,8116
"Asiste actualmente (029)",18756,1702,8879,6445,1730
"No asiste (030)",11196,2600,583,1627,6386
"Mujeres (032)",30196,4241,9318,7974,8663
"Asiste actualmente (033)",16932,1658,8696,5544,1034
"No asiste (034)",13264,2583,622,2430,7629
