"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MANU (000)",4400,91,1891,1248,319,102,52,5,,,692
"Sin Nivel (001)",561,27,239,143,32,21,10,2,,,87
"Educación Inicial (002)",31,1,20,9,,,,,,,1
"Primaria (003)",1419,38,680,398,84,26,18,1,,,174
"Secundaria (004)",1633,15,750,464,93,22,17,1,,,271
"Sup. no Univ. Incompleta (005)",249,1,92,80,27,8,2,,,,39
"Sup. no Univ. Completa (006)",271,7,59,84,46,14,2,,,,59
"Sup. Univ. Incompleta (007)",95,1,21,36,14,1,,1,,,21
"Sup. Univ. Completa (008)",141,1,30,34,23,10,3,,,,40
,,,,,,,,,,,
"URBANA (010)",1773,28,699,519,158,57,24,5,,,283
"Sin Nivel (011)",189,5,72,58,16,5,6,2,,,25
"Educación Inicial (012)",2,,1,1,,,,,,,
"Primaria (013)",539,12,246,167,32,15,9,1,,,57
"Secundaria (014)",639,5,292,172,46,10,4,1,,,109
"Sup. no Univ. Incompleta (015)",133,1,38,49,15,6,1,,,,23
"Sup. no Univ. Completa (016)",143,4,29,38,29,11,1,,,,31
"Sup. Univ. Incompleta (017)",48,1,8,16,8,1,,1,,,13
"Sup. Univ. Completa (018)",80,,13,18,12,9,3,,,,25
,,,,,,,,,,,
"RURAL (020)",2627,63,1192,729,161,45,28,,,,409
"Sin Nivel (021)",372,22,167,85,16,16,4,,,,62
"Educación Inicial (022)",29,1,19,8,,,,,,,1
"Primaria (023)",880,26,434,231,52,11,9,,,,117
"Secundaria (024)",994,10,458,292,47,12,13,,,,162
"Sup. no Univ. Incompleta (025)",116,,54,31,12,2,1,,,,16
"Sup. no Univ. Completa (026)",128,3,30,46,17,3,1,,,,28
"Sup. Univ. Incompleta (027)",47,,13,20,6,,,,,,8
"Sup. Univ. Completa (028)",61,1,17,16,11,1,,,,,15
