"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia VIRU (000)",19197,341,8008,5502,1554,575,238,88,19,,2872
"Sin Nivel (001)",3846,116,1732,1044,251,122,65,31,6,,479
"Educación Inicial (002)",38,1,21,5,2,,,,,,9
"Primaria (003)",7864,158,3718,2194,560,175,82,28,10,,939
"Secundaria (004)",5009,54,1984,1510,416,126,41,15,1,,862
"Sup. no Univ. Incompleta (005)",726,4,211,268,82,27,4,2,,,128
"Sup. no Univ. Completa (006)",779,,134,221,114,63,15,7,1,,224
"Sup. Univ. Incompleta (007)",321,4,93,93,32,16,3,,,,80
"Sup. Univ. Completa (008)",614,4,115,167,97,46,28,5,1,,151
,,,,,,,,,,,
"URBANA (010)",14799,237,5992,4220,1247,469,199,70,18,,2347
"Sin Nivel (011)",2600,85,1107,685,178,86,49,24,5,,381
"Educación Inicial (012)",25,1,12,3,2,,,,,,7
"Primaria (013)",5955,104,2758,1652,438,149,72,21,10,,751
"Secundaria (014)",4154,39,1644,1242,347,102,35,13,1,,731
"Sup. no Univ. Incompleta (015)",625,2,189,229,74,24,3,2,,,102
"Sup. no Univ. Completa (016)",662,,114,192,94,54,13,7,1,,187
"Sup. Univ. Incompleta (017)",251,2,67,74,28,12,3,,,,65
"Sup. Univ. Completa (018)",527,4,101,143,86,42,24,3,1,,123
,,,,,,,,,,,
"RURAL (020)",4398,104,2016,1282,307,106,39,18,1,,525
"Sin Nivel (021)",1246,31,625,359,73,36,16,7,1,,98
"Educación Inicial (022)",13,,9,2,,,,,,,2
"Primaria (023)",1909,54,960,542,122,26,10,7,,,188
"Secundaria (024)",855,15,340,268,69,24,6,2,,,131
"Sup. no Univ. Incompleta (025)",101,2,22,39,8,3,1,,,,26
"Sup. no Univ. Completa (026)",117,,20,29,20,9,2,,,,37
"Sup. Univ. Incompleta (027)",70,2,26,19,4,4,,,,,15
"Sup. Univ. Completa (028)",87,,14,24,11,4,4,2,,,28
