"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHURCAMPA (000)",11107,169,4906,3342,918,287,115,39,9,,1322
"Sin Nivel (001)",4479,86,1883,1404,407,143,59,26,8,,463
"Educación Inicial (002)",28,1,14,5,3,,,,,,5
"Primaria (003)",4375,73,2197,1294,268,74,43,8,,,418
"Secundaria (004)",1639,9,722,467,118,19,6,3,1,,294
"Sup. no Univ. Incompleta (005)",128,,34,41,13,,1,,,,39
"Sup. no Univ. Completa (006)",220,,29,68,51,18,4,1,,,49
"Sup. Univ. Incompleta (007)",52,,10,15,8,3,,,,,16
"Sup. Univ. Completa (008)",186,,17,48,50,30,2,1,,,38
,,,,,,,,,,,
"URBANA (010)",2586,37,1032,777,264,101,38,11,3,,323
"Sin Nivel (011)",515,19,215,143,42,22,12,3,3,,56
"Educación Inicial (012)",4,,2,1,,,,,,,1
"Primaria (013)",961,14,443,299,72,34,17,3,,,79
"Secundaria (014)",657,4,298,205,53,11,3,3,,,80
"Sup. no Univ. Incompleta (015)",92,,28,30,8,,1,,,,25
"Sup. no Univ. Completa (016)",171,,24,49,43,9,4,1,,,41
"Sup. Univ. Incompleta (017)",38,,8,12,6,1,,,,,11
"Sup. Univ. Completa (018)",148,,14,38,40,24,1,1,,,30
,,,,,,,,,,,
"RURAL (020)",8521,132,3874,2565,654,186,77,28,6,,999
"Sin Nivel (021)",3964,67,1668,1261,365,121,47,23,5,,407
"Educación Inicial (022)",24,1,12,4,3,,,,,,4
"Primaria (023)",3414,59,1754,995,196,40,26,5,,,339
"Secundaria (024)",982,5,424,262,65,8,3,,1,,214
"Sup. no Univ. Incompleta (025)",36,,6,11,5,,,,,,14
"Sup. no Univ. Completa (026)",49,,5,19,8,9,,,,,8
"Sup. Univ. Incompleta (027)",14,,2,3,2,2,,,,,5
"Sup. Univ. Completa (028)",38,,3,10,10,6,1,,,,8
