"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ANDAHUAYLAS (000)",1971,467,1504
"Sin nivel (001)",205,27,178
"Educación inicial (002)",2,,2
"Primaria (003)",710,158,552
"Secundaria (004)",767,208,559
"Superior no univ. incompleta (005)",52,18,34
"Superior no univ. completa (006)",66,12,54
"Superior univ. incompleta (007)",70,18,52
"Superior univ. completa (008)",99,26,73
"Hombres (010)",1494,330,1164
"Sin nivel (011)",144,18,126
"Educación inicial (012)",1,,1
"Primaria (013)",592,127,465
"Secundaria (014)",601,152,449
"Superior no univ. incompleta (015)",22,8,14
"Superior no univ. completa (016)",40,8,32
"Superior univ. incompleta (017)",43,8,35
"Superior univ. completa (018)",51,9,42
"Mujeres (020)",477,137,340
"Sin nivel (021)",61,9,52
"Educación inicial (022)",1,,1
"Primaria (023)",118,31,87
"Secundaria (024)",166,56,110
"Superior no univ. incompleta (025)",30,10,20
"Superior no univ. completa (026)",26,4,22
"Superior univ. incompleta (027)",27,10,17
"Superior univ. completa (028)",48,17,31
,,,
"AREA URBANA (030)",958,199,759
"Sin nivel (031)",60,10,50
"Educación inicial (032)",2,,2
"Primaria (033)",223,42,181
"Secundaria (034)",421,90,331
"Superior no univ. incompleta (035)",43,12,31
"Superior no univ. completa (036)",55,8,47
"Superior univ. incompleta (037)",63,14,49
"Superior univ. completa (038)",91,23,68
"Hombres (040)",625,107,518
"Sin nivel (041)",34,5,29
"Educación inicial (042)",1,,1
"Primaria (043)",163,27,136
"Secundaria (044)",298,55,243
"Superior no univ. incompleta (045)",15,3,12
"Superior no univ. completa (046)",33,5,28
"Superior univ. incompleta (047)",38,6,32
"Superior univ. completa (048)",43,6,37
"Mujeres (050)",333,92,241
"Sin nivel (051)",26,5,21
"Educación inicial (052)",1,,1
"Primaria (053)",60,15,45
"Secundaria (054)",123,35,88
"Superior no univ. incompleta (055)",28,9,19
"Superior no univ. completa (056)",22,3,19
"Superior univ. incompleta (057)",25,8,17
"Superior univ. completa (058)",48,17,31
,,,
"AREA RURAL (060)",1013,268,745
"Sin nivel (061)",145,17,128
"Primaria (063)",487,116,371
"Secundaria (064)",346,118,228
"Superior no univ. incompleta (065)",9,6,3
"Superior no univ. completa (066)",11,4,7
"Superior univ. incompleta (067)",7,4,3
"Superior univ. completa (068)",8,3,5
"Hombres (070)",869,223,646
"Sin nivel (071)",110,13,97
"Primaria (073)",429,100,329
"Secundaria (074)",303,97,206
"Superior no univ. incompleta (075)",7,5,2
"Superior no univ. completa (076)",7,3,4
"Superior univ. incompleta (077)",5,2,3
"Superior univ. completa (078)",8,3,5
"Mujeres (080)",144,45,99
"Sin nivel (081)",35,4,31
"Primaria (083)",58,16,42
"Secundaria (084)",43,21,22
"Superior no univ. incompleta (085)",2,1,1
"Superior no univ. completa (086)",4,1,3
"Superior univ. incompleta (087)",2,2,
