"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia EL DORADO (000)",30952,4755,671,18388,6161,227,386,114,250
"Jefe o Jefa (001)",7490,719,9,4835,1469,85,200,43,130
"Esposa(o)/ compa¤era(o) (002)",5949,1056,18,3764,906,37,101,17,50
"Hijo(a)/ hijastro(a) (003)",12785,2038,528,7216,2831,71,39,34,28
"Yerno/ nuera (004)",661,23,,368,250,5,4,5,6
"Nieto(a) (005)",1193,374,83,604,125,5,,2,
"Padres/ suegros (006)",363,186,,166,9,,,1,1
"Otro(a) pariente (007)",2029,318,31,1188,437,14,14,7,20
"Trabajador(a) del hogar (008)",60,,,35,24,1,,,
"Pensionista (009)",25,1,,6,7,,6,,5
"Otro(a) no pariente (010)",397,40,2,206,103,9,22,5,10
"Hombres (012)",16592,1947,347,10018,3692,143,224,68,153
"Jefe o Jefa (013)",6588,479,8,4383,1327,78,166,36,111
"Esposa(o)/ compa¤era(o) (014)",115,4,,68,34,3,4,,2
"Hijo(a)/ hijastro(a) (015)",7243,1030,269,4071,1768,43,25,20,17
"Yerno/ nuera (016)",236,6,,127,93,2,2,2,4
"Nieto(a) (017)",655,196,50,340,64,4,,1,
"Padres/ suegros (018)",134,39,,88,6,,,,1
"Otro(a) pariente (019)",1290,164,18,762,308,10,10,6,12
"Trabajador(a) del hogar (020)",11,,,5,6,,,,
"Pensionista (021)",18,1,,6,4,,5,,2
"Otro(a) no pariente (022)",302,28,2,168,82,3,12,3,4
"Mujeres (024)",14360,2808,324,8370,2469,84,162,46,97
"Jefe o Jefa (025)",902,240,1,452,142,7,34,7,19
"Esposa(o)/ compa¤era(o) (026)",5834,1052,18,3696,872,34,97,17,48
"Hijo(a)/ hijastro(a) (027)",5542,1008,259,3145,1063,28,14,14,11
"Yerno/ nuera (028)",425,17,,241,157,3,2,3,2
"Nieto(a) (029)",538,178,33,264,61,1,,1,
"Padres/ suegros (030)",229,147,,78,3,,,1,
"Otro(a) pariente (031)",739,154,13,426,129,4,4,1,8
"Trabajador(a) del hogar (032)",49,,,30,18,1,,,
"Pensionista (033)",7,,,,3,,1,,3
"Otro(a) no pariente (034)",95,12,,38,21,6,10,2,6
,,,,,,,,,
"URBANA (036)",12190,1318,270,6425,3421,157,308,92,199
"Jefe o Jefa (037)",3013,186,1,1668,813,57,155,33,100
"Esposa(o)/ compa¤era(o) (038)",2345,269,1,1373,535,28,85,15,39
"Hijo(a)/ hijastro(a) (039)",4776,548,207,2347,1542,49,32,28,23
"Yerno/ nuera (040)",297,8,,137,136,3,4,4,5
"Nieto(a) (041)",548,143,44,273,83,4,,1,
"Padres/ suegros (042)",165,69,,88,6,,,1,1
"Otro(a) pariente (043)",839,85,17,458,232,10,12,6,19
"Trabajador(a) del hogar (044)",43,,,26,16,1,,,
"Pensionista (045)",15,,,2,5,,4,,4
"Otro(a) no pariente (046)",149,10,,53,53,5,16,4,8
"Hombres (048)",6333,505,149,3288,1950,96,174,50,121
