"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CHUMBIVILCAS",,,,,,,,,
"Viviendas particulares (001)",6644,855,334,200,535,47,45,102,4526
"Ocupantes presentes (002)",26080,3237,1255,705,2053,167,172,395,18096
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",6405,800,299,176,507,45,42,97,4439
"Ocupantes presentes (005)",25311,3047,1152,660,1972,163,163,379,17775
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",6,4,1,,,1,,,
"Ocupantes presentes (008)",25,18,5,,,2,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",16,2,,5,1,,,,8
"Ocupantes presentes (011)",49,8,,11,2,,,,28
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",168,43,33,17,25,1,3,5,41
"Ocupantes presentes (014)",493,141,90,32,69,2,9,16,134
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",33,1,,,1,,,,31
"Ocupantes presentes (017)",157,3,,,6,,,,148
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,,,,,,,,1
"Ocupantes presentes (020)",2,,,,,,,,2
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",15,5,1,2,1,,,,6
"Ocupantes presentes (023)",43,20,8,2,4,,,,9
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",3023,627,230,141,248,29,26,52,1670
"Ocupantes presentes (029)",11272,2281,824,480,894,89,102,199,6403
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",2821,573,195,117,221,27,23,47,1618
"Ocupantes presentes (032)",10664,2094,721,435,819,85,93,183,6234
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",6,4,1,,,1,,,
"Ocupantes presentes (035)",25,18,5,,,2,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",16,2,,5,1,,,,8
"Ocupantes presentes (038)",49,8,,11,2,,,,28
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",168,43,33,17,25,1,3,5,41
"Ocupantes presentes (041)",493,141,90,32,69,2,9,16,134
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,,,,,,,,1
"Ocupantes presentes (047)",2,,,,,,,,2
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",11,5,1,2,1,,,,2
"Ocupantes presentes (050)",39,20,8,2,4,,,,5
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",3621,228,104,59,287,18,19,50,2856
"Ocupantes presentes (056)",14808,956,431,225,1159,78,70,196,11693
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",3584,227,104,59,286,18,19,50,2821
"Ocupantes presentes (059)",14647,953,431,225,1153,78,70,196,11541
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",33,1,,,1,,,,31
"Ocupantes presentes (071)",157,3,,,6,,,,148
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",4,,,,,,,,4
"Ocupantes presentes (077)",4,,,,,,,,4
"Otro tipo",,,,,,,,,
