"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CONDORCANQUI (000)",407,137,270
"Sin nivel (001)",20,6,14
"Primaria (003)",199,53,146
"Secundaria (004)",164,70,94
"Superior no univ. incompleta (005)",9,2,7
"Superior no univ. completa (006)",11,3,8
"Superior univ. incompleta (007)",2,2,
"Superior univ. completa (008)",2,1,1
"Hombres (010)",357,115,242
"Sin nivel (011)",13,1,12
"Primaria (013)",169,42,127
"Secundaria (014)",158,66,92
"Superior no univ. incompleta (015)",7,2,5
"Superior no univ. completa (016)",7,2,5
"Superior univ. incompleta (017)",2,2,
"Superior univ. completa (018)",1,,1
"Mujeres (020)",50,22,28
"Sin nivel (021)",7,5,2
"Primaria (023)",30,11,19
"Secundaria (024)",6,4,2
"Superior no univ. incompleta (025)",2,,2
"Superior no univ. completa (026)",4,1,3
"Superior univ. completa (028)",1,1,
,,,
"AREA URBANA (030)",74,33,41
"Sin nivel (031)",2,2,
"Primaria (033)",19,9,10
"Secundaria (034)",43,21,22
"Superior no univ. incompleta (035)",4,,4
"Superior no univ. completa (036)",4,,4
"Superior univ. completa (038)",2,1,1
"Hombres (040)",60,23,37
"Primaria (043)",15,5,10
"Secundaria (044)",40,18,22
"Superior no univ. incompleta (045)",3,,3
"Superior no univ. completa (046)",1,,1
"Superior univ. completa (048)",1,,1
"Mujeres (050)",14,10,4
"Sin nivel (051)",2,2,
"Primaria (053)",4,4,
"Secundaria (054)",3,3,
"Superior no univ. incompleta (055)",1,,1
"Superior no univ. completa (056)",3,,3
"Superior univ. completa (058)",1,1,
,,,
"AREA RURAL (060)",333,104,229
"Sin nivel (061)",18,4,14
"Primaria (063)",180,44,136
"Secundaria (064)",121,49,72
"Superior no univ. incompleta (065)",5,2,3
"Superior no univ. completa (066)",7,3,4
"Superior univ. incompleta (067)",2,2,
"Hombres (070)",297,92,205
"Sin nivel (071)",13,1,12
"Primaria (073)",154,37,117
"Secundaria (074)",118,48,70
"Superior no univ. incompleta (075)",4,2,2
"Superior no univ. completa (076)",6,2,4
"Superior univ. incompleta (077)",2,2,
"Mujeres (080)",36,12,24
"Sin nivel (081)",5,3,2
"Primaria (083)",26,7,19
"Secundaria (084)",3,1,2
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",1,1,
