"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia DATEM DEL MARAÑON",,,,,,
"Viviendas particulares (001)",8723,8671,50,2,,
"Ocupantes presentes (002)",48859,48283,552,24,,
"Casa independiente",,,,,,
"Viviendas particulares (004)",8055,8009,44,2,,
"Ocupantes presentes (005)",45218,44710,484,24,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",67,66,1,,,
"Ocupantes presentes (011)",234,223,11,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",21,21,,,,
"Ocupantes presentes (014)",87,87,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",551,546,5,,,
"Ocupantes presentes (017)",3190,3133,57,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",15,15,,,,
"Ocupantes presentes (020)",70,70,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",7,7,,,,
"Ocupantes presentes (023)",21,21,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",7,7,,,,
"Ocupantes presentes (026)",39,39,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",2565,2545,19,1,,
"Ocupantes presentes (029)",13371,13162,201,8,,
"Casa independiente",,,,,,
"Viviendas particulares (031)",2459,2440,18,1,,
"Ocupantes presentes (032)",12972,12774,190,8,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",67,66,1,,,
"Ocupantes presentes (038)",234,223,11,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",21,21,,,,
"Ocupantes presentes (041)",87,87,,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",15,15,,,,
"Ocupantes presentes (047)",70,70,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",3,3,,,,
"Ocupantes presentes (050)",8,8,,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",6158,6126,31,1,,
"Ocupantes presentes (056)",35488,35121,351,16,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",5596,5569,26,1,,
"Ocupantes presentes (059)",32246,31936,294,16,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",551,546,5,,,
"Ocupantes presentes (071)",3190,3133,57,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",4,4,,,,
"Ocupantes presentes (077)",13,13,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",7,7,,,,
"Ocupantes presentes (080)",39,39,,,,
