"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHINCHEROS (000)",453,9,232,139,57,16
"Sin nivel (001)",27,2,4,6,10,5
"Educación inicial (002)",1,1,,,,
"Primaria (003)",160,5,50,61,35,9
"Secundaria (004)",213,1,147,54,9,2
"Superior no univ. incompleta (005)",12,,8,4,,
"Superior no univ. completa (006)",26,,17,8,1,
"Superior univ. incompleta (007)",5,,3,1,1,
"Superior univ. completa (008)",9,,3,5,1,
"Hombres (010)",369,6,176,117,54,16
"Sin nivel (011)",20,1,3,4,7,5
"Educación inicial (012)",1,1,,,,
"Primaria (013)",139,3,37,55,35,9
"Secundaria (014)",172,1,113,47,9,2
"Superior no univ. incompleta (015)",9,,5,4,,
"Superior no univ. completa (016)",18,,13,4,1,
"Superior univ. incompleta (017)",3,,2,,1,
"Superior univ. completa (018)",7,,3,3,1,
"Mujeres (020)",84,3,56,22,3,
"Sin nivel (021)",7,1,1,2,3,
"Primaria (023)",21,2,13,6,,
"Secundaria (024)",41,,34,7,,
"Superior no univ. incompleta (025)",3,,3,,,
"Superior no univ. completa (026)",8,,4,4,,
"Superior univ. incompleta (027)",2,,1,1,,
"Superior univ. completa (028)",2,,,2,,
,,,,,,
"Area Urbana (030)",166,4,84,54,20,4
"Sin nivel (031)",8,,2,2,4,
"Educación inicial (032)",1,1,,,,
"Primaria (033)",42,3,11,18,8,2
"Secundaria (034)",87,,57,22,6,2
"Superior no univ. incompleta (035)",5,,4,1,,
"Superior no univ. completa (036)",13,,6,6,1,
"Superior univ. incompleta (037)",3,,2,1,,
"Superior univ. completa (038)",7,,2,4,1,
"Hombres (040)",133,2,63,45,19,4
"Sin nivel (041)",7,,2,2,3,
"Educación inicial (042)",1,1,,,,
"Primaria (043)",35,1,7,17,8,2
"Secundaria (044)",70,,44,18,6,2
"Superior no univ. incompleta (045)",3,,2,1,,
"Superior no univ. completa (046)",10,,5,4,1,
"Superior univ. incompleta (047)",1,,1,,,
"Superior univ. completa (048)",6,,2,3,1,
"Mujeres (050)",33,2,21,9,1,
"Sin nivel (051)",1,,,,1,
"Primaria (053)",7,2,4,1,,
"Secundaria (054)",17,,13,4,,
"Superior no univ. incompleta (055)",2,,2,,,
"Superior no univ. completa (056)",3,,1,2,,
"Superior univ. incompleta (057)",2,,1,1,,
"Superior univ. completa (058)",1,,,1,,
,,,,,,
"Area Rural (060)",287,5,148,85,37,12
"Sin nivel (061)",19,2,2,4,6,5
"Primaria (063)",118,2,39,43,27,7
"Secundaria (064)",126,1,90,32,3,
"Superior no univ. incompleta (065)",7,,4,3,,
"Superior no univ. completa (066)",13,,11,2,,
"Superior univ. incompleta (067)",2,,1,,1,
"Superior univ. completa (068)",2,,1,1,,
"Hombres (070)",236,4,113,72,35,12
"Sin nivel (071)",13,1,1,2,4,5
"Primaria (073)",104,2,30,38,27,7
"Secundaria (074)",102,1,69,29,3,
"Superior no univ. incompleta (075)",6,,3,3,,
"Superior no univ. completa (076)",8,,8,,,
"Superior univ. incompleta (077)",2,,1,,1,
"Superior univ. completa (078)",1,,1,,,
"Mujeres (080)",51,1,35,13,2,
"Sin nivel (081)",6,1,1,2,2,
"Primaria (083)",14,,9,5,,
"Secundaria (084)",24,,21,3,,
"Superior no univ. incompleta (085)",1,,1,,,
"Superior no univ. completa (086)",5,,3,2,,
"Superior univ. completa (088)",1,,,1,,
