"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LAMBAYEQUE (000)",65448,60938,207,11385,11231,9553,13381,8015,4648,2518,4510,239808
"De 12 a 14 años (001)",79,36,3,27,6,,,,,,43,39
"De 15 a 19 años (002)",1785,1527,12,1285,207,19,4,,,,258,1772
"De 20 a 24 años (003)",6862,5560,25,3194,1645,534,150,12,,,1302,8789
"De 25 a 29 años (004)",8220,7160,23,2216,2423,1462,957,76,3,,1060,16032
"De 30 a 34 años (005)",8364,7777,14,1434,2116,1871,1924,360,53,5,587,22379
"De 35 a 39 años (006)",7742,7356,15,853,1510,1577,2372,808,178,43,386,26138
"De 40 a 44 años (007)",6865,6638,20,668,1055,1298,2037,1099,361,100,227,26805
"De 45 a 49 años (008)",6064,5854,17,478,796,921,1691,1147,605,199,210,27012
"De 50 y más años (009)",19467,19030,78,1230,1473,1871,4246,4513,3448,2171,437,110842
"PEA (010)",14364,12543,63,3126,2879,2292,2424,1096,460,203,1821,39471
"De 12 a 14 años (011)",7,3,,2,1,,,,,,4,4
"De 15 a 19 años (012)",179,153,3,133,12,4,1,,,,26,173
"De 20 a 24 años (013)",1334,846,9,579,192,48,13,5,,,488,1191
"De 25 a 29 años (014)",1973,1400,8,645,451,203,88,4,1,,573,2564
"De 30 a 34 años (015)",2130,1858,6,560,574,376,297,40,5,,272,4400
"De 35 a 39 años (016)",2152,1990,10,400,505,466,457,125,24,3,162,5847
"De 40 a 44 años (017)",1961,1871,9,280,434,460,454,182,47,5,90,6118
"De 45 a 49 años (018)",1683,1579,6,186,332,315,412,212,95,21,104,5996
"De 50 y más años (019)",2945,2843,12,341,378,420,702,528,288,174,102,13178
