"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CANCHIS (000)",33550,3900,40,11023,10552,1516,3566,901,2052
"Empleado (001)",5806,38,3,224,945,438,2289,372,1497
"Obrero (002)",3115,205,3,1017,1476,132,181,60,41
"Trabajador independiente (003)",18259,2479,18,7193,6124,746,900,357,442
"Empleador o patrono (004)",524,45,,147,204,28,41,30,29
"Trabajador familiar no remunerado (005)",5498,1099,15,2331,1629,160,142,81,41
"Trabajador del hogar (006)",348,34,1,111,174,12,13,1,2
"Hombres (008)",19808,1219,22,6510,7169,939,2100,622,1227
"Empleado (009)",3332,7,2,127,605,255,1263,239,834
"Obrero (010)",2622,94,1,833,1321,118,167,54,34
"Trabajador independiente (011)",11366,958,10,4615,4171,469,570,258,315
"Empleador o patrono (012)",370,15,,101,160,20,30,23,21
"Trabajador familiar no remunerado (013)",2073,143,8,817,889,76,69,48,23
"Trabajador del hogar (014)",45,2,1,17,23,1,1,,
"Mujeres (016)",13742,2681,18,4513,3383,577,1466,279,825
"Empleado (017)",2474,31,1,97,340,183,1026,133,663
"Obrero (018)",493,111,2,184,155,14,14,6,7
"Trabajador independiente (019)",6893,1521,8,2578,1953,277,330,99,127
"Empleador o patrono (020)",154,30,,46,44,8,11,7,8
"Trabajador familiar no remunerado (021)",3425,956,7,1514,740,84,73,33,18
"Trabajador del hogar (022)",303,32,,94,151,11,12,1,2
,,,,,,,,,
"URBANA (024)",20376,1169,10,4908,7059,1277,3172,827,1954
"Empleado (025)",5284,34,3,175,794,370,2101,352,1455
"Obrero (026)",1837,67,1,479,958,104,140,52,36
"Trabajador independiente (027)",10608,821,3,3392,4245,651,774,322,400
"Empleador o patrono (028)",369,20,,75,160,26,34,28,26
"Trabajador familiar no remunerado (029)",1985,201,2,700,747,117,110,73,35
"Trabajador del hogar (030)",293,26,1,87,155,9,13,,2
"Hombres (032)",11572,245,5,2535,4501,759,1814,560,1153
"Empleado (033)",2966,6,2,92,490,210,1136,222,808
"Obrero (034)",1575,21,1,393,863,92,128,47,30
"Trabajador independiente (035)",6000,185,1,1766,2666,395,480,229,278
"Empleador o patrono (036)",257,6,,47,120,18,26,21,19
"Trabajador familiar no remunerado (037)",739,26,,224,343,44,43,41,18
"Trabajador del hogar (038)",35,1,1,13,19,,1,,
"Mujeres (040)",8804,924,5,2373,2558,518,1358,267,801
"Empleado (041)",2318,28,1,83,304,160,965,130,647
"Obrero (042)",262,46,,86,95,12,12,5,6
"Trabajador independiente (043)",4608,636,2,1626,1579,256,294,93,122
"Empleador o patrono (044)",112,14,,28,40,8,8,7,7
"Trabajador familiar no remunerado (045)",1246,175,2,476,404,73,67,32,17
"Trabajador del hogar (046)",258,25,,74,136,9,12,,2
,,,,,,,,,
"RURAL (048)",13174,2731,30,6115,3493,239,394,74,98
"Empleado (049)",522,4,,49,151,68,188,20,42
"Obrero (050)",1278,138,2,538,518,28,41,8,5
"Trabajador independiente (051)",7651,1658,15,3801,1879,95,126,35,42
"Empleador o patrono (052)",155,25,,72,44,2,7,2,3
"Trabajador familiar no remunerado (053)",3513,898,13,1631,882,43,32,8,6
"Trabajador del hogar (054)",55,8,,24,19,3,,1,
"Hombres (056)",8236,974,17,3975,2668,180,286,62,74
"Empleado (057)",366,1,,35,115,45,127,17,26
"Obrero (058)",1047,73,,440,458,26,39,7,4
"Trabajador independiente (059)",5366,773,9,2849,1505,74,90,29,37
"Empleador o patrono (060)",113,9,,54,40,2,4,2,2
"Trabajador familiar no remunerado (061)",1334,117,8,593,546,32,26,7,5
"Trabajador del hogar (062)",10,1,,4,4,1,,,
"Mujeres (064)",4938,1757,13,2140,825,59,108,12,24
"Empleado (065)",156,3,,14,36,23,61,3,16
"Obrero (066)",231,65,2,98,60,2,2,1,1
"Trabajador independiente (067)",2285,885,6,952,374,21,36,6,5
"Empleador o patrono (068)",42,16,,18,4,,3,,1
"Trabajador familiar no remunerado (069)",2179,781,5,1038,336,11,6,1,1
"Trabajador del hogar (070)",45,7,,20,15,2,,1,
