"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia CHUCUITO",,,,
"Viviendas particulares (001)",10492,5879,3063,1550
"Ocupantes presentes (002)",40391,23227,11923,5241
"Casa independiente",,,,
"Viviendas particulares (004)",10123,5732,2945,1446
"Ocupantes presentes (005)",38903,22600,11421,4882
"Departamento en edificio",,,,
"Viviendas particulares (007)",31,24,7,
"Ocupantes presentes (008)",138,111,27,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",28,17,11,
"Ocupantes presentes (011)",86,54,32,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",199,95,100,4
"Ocupantes presentes (014)",877,420,443,14
"Choza o cabaña",,,,
"Viviendas particulares (016)",99,,,99
"Ocupantes presentes (017)",344,,,344
"Vivienda improvisada",,,,
"Viviendas particulares (019)",1,1,,
"Ocupantes presentes (020)",5,5,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",10,10,,
"Ocupantes presentes (023)",37,37,,
"Otro tipo",,,,
"Viviendas particulares (025)",1,,,1
"Ocupantes presentes (026)",1,,,1
Si,,,,
"Viviendas particulares (028)",9897,5586,2925,1386
"Ocupantes presentes (029)",38119,22119,11368,4632
"Casa independiente",,,,
"Viviendas particulares (031)",9537,5443,2808,1286
"Ocupantes presentes (032)",36661,21507,10870,4284
"Departamento en edificio",,,,
"Viviendas particulares (034)",31,24,7,
"Ocupantes presentes (035)",138,111,27,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",27,17,10,
"Ocupantes presentes (038)",82,54,28,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",194,91,100,3
"Ocupantes presentes (041)",859,405,443,11
"Choza o cabaña",,,,
"Viviendas particulares (043)",96,,,96
"Ocupantes presentes (044)",336,,,336
"Vivienda improvisada",,,,
"Viviendas particulares (046)",1,1,,
"Ocupantes presentes (047)",5,5,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",10,10,,
"Ocupantes presentes (050)",37,37,,
"Otro tipo",,,,
"Viviendas particulares (052)",1,,,1
"Ocupantes presentes (053)",1,,,1
No,,,,
"Viviendas particulares (055)",595,293,138,164
"Ocupantes presentes (056)",2272,1108,555,609
"Casa independiente",,,,
"Viviendas particulares (058)",586,289,137,160
"Ocupantes presentes (059)",2242,1093,551,598
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",1,,1,
"Ocupantes presentes (065)",4,,4,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",5,4,,1
"Ocupantes presentes (068)",18,15,,3
"Choza o cabaña",,,,
"Viviendas particulares (070)",3,,,3
"Ocupantes presentes (071)",8,,,8
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",5665,3981,1467,217
"Ocupantes presentes (110)",23850,16676,6410,764
"Casa independiente",,,,
"Viviendas particulares (112)",5396,3834,1349,213
"Ocupantes presentes (113)",22707,16049,5908,750
"Departamento en edificio",,,,
"Viviendas particulares (115)",31,24,7,
"Ocupantes presentes (116)",138,111,27,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",28,17,11,
"Ocupantes presentes (119)",86,54,32,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",199,95,100,4
"Ocupantes presentes (122)",877,420,443,14
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",1,1,,
"Ocupantes presentes (128)",5,5,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",10,10,,
"Ocupantes presentes (131)",37,37,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",5477,3863,1425,189
"Ocupantes presentes (137)",23097,16179,6257,661
"Casa independiente",,,,
"Viviendas particulares (139)",5214,3720,1308,186
"Ocupantes presentes (140)",21976,15567,5759,650
"Departamento en edificio",,,,
"Viviendas particulares (142)",31,24,7,
"Ocupantes presentes (143)",138,111,27,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",27,17,10,
"Ocupantes presentes (146)",82,54,28,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",194,91,100,3
"Ocupantes presentes (149)",859,405,443,11
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",1,1,,
"Ocupantes presentes (155)",5,5,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",10,10,,
"Ocupantes presentes (158)",37,37,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",188,118,42,28
"Ocupantes presentes (164)",753,497,153,103
"Casa independiente",,,,
"Viviendas particulares (166)",182,114,41,27
"Ocupantes presentes (167)",731,482,149,100
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",1,,1,
"Ocupantes presentes (173)",4,,4,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",5,4,,1
"Ocupantes presentes (176)",18,15,,3
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",4827,1898,1596,1333
"Ocupantes presentes (218)",16541,6551,5513,4477
"Casa independiente",,,,
"Viviendas particulares (220)",4727,1898,1596,1233
"Ocupantes presentes (221)",16196,6551,5513,4132
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",99,,,99
"Ocupantes presentes (233)",344,,,344
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"Viviendas particulares (241)",1,,,1
"Ocupantes presentes (242)",1,,,1
Si,,,,
"Viviendas particulares (244)",4420,1723,1500,1197
"Ocupantes presentes (245)",15022,5940,5111,3971
"Casa independiente",,,,
"Viviendas particulares (247)",4323,1723,1500,1100
"Ocupantes presentes (248)",14685,5940,5111,3634
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",96,,,96
"Ocupantes presentes (260)",336,,,336
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"Viviendas particulares (268)",1,,,1
"Ocupantes presentes (269)",1,,,1
No,,,,
"Viviendas particulares (271)",407,175,96,136
"Ocupantes presentes (272)",1519,611,402,506
"Casa independiente",,,,
"Viviendas particulares (274)",404,175,96,133
"Ocupantes presentes (275)",1511,611,402,498
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",3,,,3
"Ocupantes presentes (287)",8,,,8
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
