"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUANUCO (000)",69080,1004,26616,21553,7618,2821,1083,363,62,,7960
"Catolica (001)",52930,748,19954,16450,6066,2301,841,283,43,,6244
"Cristiana / Evangelica (002)",14347,228,6053,4548,1331,446,219,74,18,,1430
"Otra (003)",983,10,317,300,140,45,16,4,1,,150
"Ninguna (004)",820,18,292,255,81,29,7,2,,,136
,,,,,,,,,,,
"URBANA (006)",43659,526,14700,13736,5627,2197,875,274,43,,5681
"Catolica (007)",33823,394,11127,10531,4546,1821,687,216,28,,4473
"Cristiana / Evangelica (008)",8330,114,3091,2745,888,309,166,52,14,,951
"Otra (009)",845,9,257,256,126,39,16,4,1,,137
"Ninguna (010)",661,9,225,204,67,28,6,2,,,120
,,,,,,,,,,,
"RURAL (012)",25421,478,11916,7817,1991,624,208,89,19,,2279
"Catolica (013)",19107,354,8827,5919,1520,480,154,67,15,,1771
"Cristiana / Evangelica (014)",6017,114,2962,1803,443,137,53,22,4,,479
"Otra (015)",138,1,60,44,14,6,,,,,13
"Ninguna (016)",159,9,67,51,14,1,1,,,,16
