"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia YAROWILCA",,,,,,,
"Viviendas particulares (001)",8160,304,30,79,7455,72,220
"Ocupantes presentes (002)",32339,1107,106,325,29736,252,813
"Casa independiente",,,,,,,
"Viviendas particulares (004)",8045,302,30,77,7353,69,214
"Ocupantes presentes (005)",32023,1102,106,319,29459,245,792
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",3,,,,3,,
"Ocupantes presentes (014)",11,,,,11,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",110,2,,2,99,1,6
"Ocupantes presentes (017)",301,5,,6,266,3,21
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",2,,,,,2,
"Ocupantes presentes (023)",4,,,,,4,
"Otro tipo",,,,,,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",1995,184,13,32,1715,12,39
"Ocupantes presentes (029)",7883,656,60,128,6862,30,147
"Casa independiente",,,,,,,
"Viviendas particulares (031)",1990,184,13,32,1712,10,39
"Ocupantes presentes (032)",7868,656,60,128,6851,26,147
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",3,,,,3,,
"Ocupantes presentes (041)",11,,,,11,,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",2,,,,,2,
"Ocupantes presentes (050)",4,,,,,4,
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",6165,120,17,47,5740,60,181
"Ocupantes presentes (056)",24456,451,46,197,22874,222,666
"Casa independiente",,,,,,,
"Viviendas particulares (058)",6055,118,17,45,5641,59,175
"Ocupantes presentes (059)",24155,446,46,191,22608,219,645
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",110,2,,2,99,1,6
"Ocupantes presentes (071)",301,5,,6,266,3,21
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Otro tipo",,,,,,,
