"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CAMANA (000)",14463,10668,3795
"Red pública de desague dentro de la vivienda (001)",5850,5671,179
"Red pública de desague fuera de la vivienda (002)",608,558,50
"Pozo séptico (003)",1344,1067,277
"Pozo ciego o negro / letrina (004)",4438,2765,1673
"Río, acequia o canal (005)",101,33,68
"No tiene (006)",2122,574,1548
,,,
"URBANA (008)",11735,9973,1762
"Red pública de desague dentro de la vivienda (009)",5772,5598,174
"Red pública de desague fuera de la vivienda (010)",606,556,50
"Pozo séptico (011)",1161,919,242
"Pozo ciego o negro / letrina (012)",3203,2414,789
"Río, acequia o canal (013)",42,24,18
"No tiene (014)",951,462,489
,,,
"RURAL (016)",2728,695,2033
"Red pública de desague dentro de la vivienda (017)",78,73,5
"Red pública de desague fuera de la vivienda (018)",2,2,
"Pozo séptico (019)",183,148,35
"Pozo ciego o negro / letrina (020)",1235,351,884
"Río, acequia o canal (021)",59,9,50
"No tiene (022)",1171,112,1059
