"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LAMPA (000)",45714,10330,4920,798,29696
"Quechua (001)",34085,7635,2748,452,23267
"Aymara (002)",168,12,65,10,81
"Asháninka (003)",7,5,1,1,1
"Otra lengua nativa (004)",13,8,1,2,4
"Castellano (005)",11357,2658,2102,324,6283
"Idioma Extranjero (006)",16,,2,8,6
"Es Sordomudo/a (007)",68,12,1,1,54
"Hombres (009)",22750,4992,2957,499,14323
"Quechua (010)",16440,3604,1643,253,10954
"Aymara (011)",116,9,55,9,43
"Asháninka (012)",3,1,1,,1
"Otra lengua nativa (013)",4,1,,,3
"Castellano (014)",6141,1373,1256,233,3286
"Idioma Extranjero (015)",9,,1,3,5
"Es Sordomudo/a (016)",37,4,1,1,31
"Mujeres (018)",22964,5338,1963,299,15373
"Quechua (019)",17645,4031,1105,199,12313
"Aymara (020)",52,3,10,1,38
"Asháninka (021)",4,4,,1,
"Otra lengua nativa (022)",9,7,1,2,1
"Castellano (023)",5216,1285,846,91,2997
"Idioma Extranjero (024)",7,,1,5,1
"Es Sordomudo/a (025)",31,8,,,23
,,,,,
"URBANA (027)",17597,3478,2932,448,10757
"Quechua (028)",10067,2067,1396,184,6430
"Aymara (029)",70,5,13,8,44
"Otra lengua nativa (031)",3,1,1,1,1
"Castellano (032)",7426,1404,1519,246,4264
"Idioma Extranjero (033)",16,,2,8,6
"Es Sordomudo/a (034)",15,1,1,1,12
"Hombres (036)",8649,1635,1514,288,5225
"Quechua (037)",4760,945,717,105,3002
"Aymara (038)",43,4,7,7,25
"Castellano (041)",3829,686,788,172,2187
"Idioma Extranjero (042)",9,,1,3,5
"Es Sordomudo/a (043)",8,,1,1,6
"Mujeres (045)",8948,1843,1418,160,5532
"Quechua (046)",5307,1122,679,79,3428
"Aymara (047)",27,1,6,1,19
"Otra lengua nativa (049)",3,1,1,1,1
"Castellano (050)",3597,718,731,74,2077
"Idioma Extranjero (051)",7,,1,5,1
"Es Sordomudo/a (052)",7,1,,,6
,,,,,
"RURAL (054)",28117,6852,1988,350,18939
"Quechua (055)",24018,5568,1352,268,16837
"Aymara (056)",98,7,52,2,37
"Asháninka (057)",7,5,1,1,1
"Otra lengua nativa (058)",10,7,,1,3
"Castellano (059)",3931,1254,583,78,2019
"Es Sordomudo/a (061)",53,11,,,42
"Hombres (063)",14101,3357,1443,211,9098
"Quechua (064)",11680,2659,926,148,7952
"Aymara (065)",73,5,48,2,18
"Asháninka (066)",3,1,1,,1
"Otra lengua nativa (067)",4,1,,,3
"Castellano (068)",2312,687,468,61,1099
"Es Sordomudo/a (070)",29,4,,,25
"Mujeres (072)",14016,3495,545,139,9841
"Quechua (073)",12338,2909,426,120,8885
"Aymara (074)",25,2,4,,19
"Asháninka (075)",4,4,,1,
"Otra lengua nativa (076)",6,6,,1,
"Castellano (077)",1619,567,115,17,920
"Es Sordomudo/a (079)",24,7,,,17
