"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CANAS (000)",32691,4574,565,16660,9099,508,520,412,353
"Hombres (001)",16305,931,280,8236,5632,353,370,256,247
"Mujeres (002)",16386,3643,285,8424,3467,155,150,156,106
"PEA (003)",9629,1293,9,4313,2997,228,386,127,276
"Hombres (004)",6251,346,3,2768,2381,175,291,95,192
"Mujeres (005)",3378,947,6,1545,616,53,95,32,84
"Ocupada (006)",9128,1276,9,4141,2730,218,371,123,260
"Hombres (007)",5833,332,3,2629,2150,165,280,93,181
"Mujeres (008)",3295,944,6,1512,580,53,91,30,79
"Desocupada (009)",501,17,,172,267,10,15,4,16
"Hombres (010)",418,14,,139,231,10,11,2,11
"Mujeres (011)",83,3,,33,36,,4,2,5
"No PEA (012)",23062,3281,556,12347,6102,280,134,285,77
"Hombres (013)",10054,585,277,5468,3251,178,79,161,55
"Mujeres (014)",13008,2696,279,6879,2851,102,55,124,22
,,,,,,,,,
"URBANA (018)",5382,431,95,2060,1837,196,276,260,227
"Hombres (019)",2705,82,50,967,1004,127,183,142,150
"Mujeres (020)",2677,349,45,1093,833,69,93,118,77
"PEA (021)",1895,125,3,475,696,107,218,89,182
"Hombres (022)",1170,24,,263,476,75,152,62,118
"Mujeres (023)",725,101,3,212,220,32,66,27,64
"Ocupada (024)",1797,122,3,451,641,104,215,85,176
"Hombres (025)",1098,23,,248,429,72,150,60,116
"Mujeres (026)",699,99,3,203,212,32,65,25,60
"Desocupada (027)",98,3,,24,55,3,3,4,6
"Hombres (028)",72,1,,15,47,3,2,2,2
"Mujeres (029)",26,2,,9,8,,1,2,4
"No PEA (030)",3487,306,92,1585,1141,89,58,171,45
"Hombres (031)",1535,58,50,704,528,52,31,80,32
"Mujeres (032)",1952,248,42,881,613,37,27,91,13
,,,,,,,,,
"RURAL (036)",27309,4143,470,14600,7262,312,244,152,126
"Hombres (037)",13600,849,230,7269,4628,226,187,114,97
"Mujeres (038)",13709,3294,240,7331,2634,86,57,38,29
"PEA (039)",7734,1168,6,3838,2301,121,168,38,94
"Hombres (040)",5081,322,3,2505,1905,100,139,33,74
"Mujeres (041)",2653,846,3,1333,396,21,29,5,20
"Ocupada (042)",7331,1154,6,3690,2089,114,156,38,84
"Hombres (043)",4735,309,3,2381,1721,93,130,33,65
"Mujeres (044)",2596,845,3,1309,368,21,26,5,19
"Desocupada (045)",403,14,,148,212,7,12,,10
"Hombres (046)",346,13,,124,184,7,9,,9
"Mujeres (047)",57,1,,24,28,,3,,1
"No PEA (048)",19575,2975,464,10762,4961,191,76,114,32
"Hombres (049)",8519,527,227,4764,2723,126,48,81,23
"Mujeres (050)",11056,2448,237,5998,2238,65,28,33,9
