"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CELENDIN (000)",88329,1725,31492,22246,14943,11588,6335
"Jefe o Jefa (001)",21691,,41,3884,7140,6617,4009
"Esposa(o) / compañera(o) (002)",14509,,41,3862,5319,3876,1411
"Hijo(a) / hijastro(a) (003)",39391,1217,25041,11143,1550,419,21
"Yerno / nuera (004)",1135,,21,857,207,46,4
"Nieto(a) (005)",5405,375,4151,827,50,2,
"Padres / suegros (006)",706,,,1,24,148,533
"Otro(a) pariente (007)",4705,132,2071,1294,501,398,309
"Trabajador(a) del hogar (008)",125,,16,64,29,12,4
"Pensionistas (009)",41,,3,17,13,5,3
"Otro(a) no pariente (010)",621,1,107,297,110,65,41
"Hombres (011)",43343,844,15865,10900,7144,5609,2981
"Jefe o Jefa (012)",16088,,21,2952,5622,4912,2581
"Esposa(o) / compañera(o) (013)",878,,21,269,294,202,92
"Hijo(a) / hijastro(a) (014)",20230,588,12709,6010,736,179,8
"Yerno / nuera (015)",518,,7,343,129,35,4
"Nieto(a) (016)",2701,201,2048,429,22,1,
"Padres / suegros (017)",195,,,,8,45,142
"Otro(a) pariente (018)",2356,55,1007,719,250,196,129
"Trabajador(a) del hogar (019)",18,,2,6,5,3,2
"Pensionistas (020)",30,,1,13,11,4,1
"Otro(a) no pariente (021)",329,,49,159,67,32,22
"Mujeres (022)",44986,881,15627,11346,7799,5979,3354
"Jefe o Jefa (023)",5603,,20,932,1518,1705,1428
"Esposa(o) / compañera(o) (024)",13631,,20,3593,5025,3674,1319
"Hijo(a) / hijastro(a) (025)",19161,629,12332,5133,814,240,13
"Yerno / nuera (026)",617,,14,514,78,11,
"Nieto(a) (027)",2704,174,2103,398,28,1,
"Padres / suegros (028)",511,,,1,16,103,391
"Otro(a) pariente (029)",2349,77,1064,575,251,202,180
"Trabajador(a) del hogar (030)",107,,14,58,24,9,2
"Pensionistas (031)",11,,2,4,2,1,2
"Otro(a) no pariente (032)",292,1,58,138,43,33,19
,,,,,,,
"URBANA (033)",22004,358,6668,5950,3968,3165,1895
"Jefe o Jefa (034)",5635,,14,873,1791,1798,1159
"Esposa(o) / compañera(o) (035)",3169,,11,746,1187,882,343
"Hijo(a) / hijastro(a) (036)",8676,222,4756,2920,563,203,12
"Yerno / nuera (037)",336,,3,216,92,22,3
"Nieto(a) (038)",1661,102,1241,291,25,2,
"Padres / suegros (039)",288,,,1,8,57,222
"Otro(a) pariente (040)",1666,33,554,601,199,152,127
"Trabajador(a) del hogar (041)",89,,13,54,16,5,1
"Pensionistas (042)",29,,1,14,8,5,1
"Otro(a) no pariente (043)",455,1,75,234,79,39,27
"Hombres (044)",10551,167,3365,2844,1833,1463,879
"Jefe o Jefa (045)",3804,,8,605,1289,1187,715
"Esposa(o) / compañera(o) (046)",229,,8,73,59,57,32
"Hijo(a) / hijastro(a) (047)",4372,102,2433,1489,255,90,3
"Yerno / nuera (048)",165,,,86,59,17,3
"Nieto(a) (049)",838,52,624,150,11,1,
"Padres / suegros (050)",76,,,,3,16,57
"Otro(a) pariente (051)",817,13,261,313,104,71,55
"Trabajador(a) del hogar (052)",3,,1,1,,1,
"Pensionistas (053)",21,,,10,7,4,
"Otro(a) no pariente (054)",226,,30,117,46,19,14
"Mujeres (055)",11453,191,3303,3106,2135,1702,1016
"Jefe o Jefa (056)",1831,,6,268,502,611,444
"Esposa(o) / compañera(o) (057)",2940,,3,673,1128,825,311
"Hijo(a) / hijastro(a) (058)",4304,120,2323,1431,308,113,9
"Yerno / nuera (059)",171,,3,130,33,5,
"Nieto(a) (060)",823,50,617,141,14,1,
"Padres / suegros (061)",212,,,1,5,41,165
"Otro(a) pariente (062)",849,20,293,288,95,81,72
"Trabajador(a) del hogar (063)",86,,12,53,16,4,1
"Pensionistas (064)",8,,1,4,1,1,1
"Otro(a) no pariente (065)",229,1,45,117,33,20,13
,,,,,,,
"RURAL (066)",66325,1367,24824,16296,10975,8423,4440
"Jefe o Jefa (067)",16056,,27,3011,5349,4819,2850
"Esposa(o) / compañera(o) (068)",11340,,30,3116,4132,2994,1068
"Hijo(a) / hijastro(a) (069)",30715,995,20285,8223,987,216,9
"Yerno / nuera (070)",799,,18,641,115,24,1
"Nieto(a) (071)",3744,273,2910,536,25,,
"Padres / suegros (072)",418,,,,16,91,311
"Otro(a) pariente (073)",3039,99,1517,693,302,246,182
"Trabajador(a) del hogar (074)",36,,3,10,13,7,3
"Pensionistas (075)",12,,2,3,5,,2
"Otro(a) no pariente (076)",166,,32,63,31,26,14
"Hombres (077)",32792,677,12500,8056,5311,4146,2102
"Jefe o Jefa (078)",12284,,13,2347,4333,3725,1866
"Esposa(o) / compañera(o) (079)",649,,13,196,235,145,60
"Hijo(a) / hijastro(a) (080)",15858,486,10276,4521,481,89,5
"Yerno / nuera (081)",353,,7,257,70,18,1
"Nieto(a) (082)",1863,149,1424,279,11,,
"Padres / suegros (083)",119,,,,5,29,85
"Otro(a) pariente (084)",1539,42,746,406,146,125,74
"Trabajador(a) del hogar (085)",15,,1,5,5,2,2
"Pensionistas (086)",9,,1,3,4,,1
"Otro(a) no pariente (087)",103,,19,42,21,13,8
"Mujeres (088)",33533,690,12324,8240,5664,4277,2338
"Jefe o Jefa (089)",3772,,14,664,1016,1094,984
"Esposa(o) / compañera(o) (090)",10691,,17,2920,3897,2849,1008
"Hijo(a) / hijastro(a) (091)",14857,509,10009,3702,506,127,4
"Yerno / nuera (092)",446,,11,384,45,6,
"Nieto(a) (093)",1881,124,1486,257,14,,
"Padres / suegros (094)",299,,,,11,62,226
"Otro(a) pariente (095)",1500,57,771,287,156,121,108
