"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia JUNIN (000)",29950,452,9021,7458,5379,4827,2813
"Jefe o Jefa (001)",8963,,41,1231,2675,3028,1988
"Esposa(o) / compañera(o) (002)",4451,,13,930,1597,1382,529
"Hijo(a) / hijastro(a) (003)",12714,323,7210,4214,781,181,5
"Yerno / nuera (004)",294,,3,188,87,15,1
"Nieto(a) (005)",1584,102,1160,311,11,,
"Padres / suegros (006)",267,,,,3,62,202
"Otro(a) pariente (007)",1403,24,546,473,168,123,69
"Trabajador(a) del hogar (008)",13,,1,7,2,2,1
"Pensionistas (009)",16,,,9,4,,3
"Otro(a) no pariente (010)",245,3,47,95,51,34,15
"Hombres (011)",14414,218,4615,3609,2423,2266,1283
"Jefe o Jefa (012)",5896,,18,808,1849,2038,1183
"Esposa(o) / compañera(o) (013)",262,,8,86,75,69,24
"Hijo(a) / hijastro(a) (014)",6479,156,3722,2186,340,71,4
"Yerno / nuera (015)",116,,3,66,40,7,
"Nieto(a) (016)",747,48,552,143,4,,
"Padres / suegros (017)",53,,,,1,8,44
"Otro(a) pariente (018)",727,13,287,265,85,56,21
"Pensionistas (020)",14,,,9,3,,2
"Otro(a) no pariente (021)",120,1,25,46,26,17,5
"Mujeres (022)",15536,234,4406,3849,2956,2561,1530
"Jefe o Jefa (023)",3067,,23,423,826,990,805
"Esposa(o) / compañera(o) (024)",4189,,5,844,1522,1313,505
"Hijo(a) / hijastro(a) (025)",6235,167,3488,2028,441,110,1
"Yerno / nuera (026)",178,,,122,47,8,1
"Nieto(a) (027)",837,54,608,168,7,,
"Padres / suegros (028)",214,,,,2,54,158
"Otro(a) pariente (029)",676,11,259,208,83,67,48
"Trabajador(a) del hogar (030)",13,,1,7,2,2,1
"Pensionistas (031)",2,,,,1,,1
"Otro(a) no pariente (032)",125,2,22,49,25,17,10
,,,,,,,
"URBANA (033)",21080,293,6350,5424,3884,3280,1849
"Jefe o Jefa (034)",6047,,38,813,1875,2030,1291
"Esposa(o) / compañera(o) (035)",2943,,8,594,1092,917,332
"Hijo(a) / hijastro(a) (036)",9043,195,4932,3125,641,145,5
"Yerno / nuera (037)",240,,3,153,70,14,
"Nieto(a) (038)",1231,83,884,253,11,,
"Padres / suegros (039)",208,,,,3,49,156
"Otro(a) pariente (040)",1131,14,441,391,141,96,48
"Trabajador(a) del hogar (041)",10,,1,4,2,2,1
"Pensionistas (042)",15,,,9,3,,3
"Otro(a) no pariente (043)",212,1,43,82,46,27,13
"Hombres (044)",9905,139,3258,2551,1678,1480,799
"Jefe o Jefa (045)",3771,,15,498,1229,1306,723
"Esposa(o) / compañera(o) (046)",199,,5,69,57,53,15
"Hijo(a) / hijastro(a) (047)",4526,92,2554,1562,261,53,4
"Yerno / nuera (048)",93,,3,50,33,7,
"Nieto(a) (049)",579,40,423,112,4,,
"Padres / suegros (050)",42,,,,1,6,35
"Otro(a) pariente (051)",586,7,237,216,69,41,16
"Pensionistas (053)",13,,,9,2,,2
"Otro(a) no pariente (054)",96,,21,35,22,14,4
"Mujeres (055)",11175,154,3092,2873,2206,1800,1050
"Jefe o Jefa (056)",2276,,23,315,646,724,568
"Esposa(o) / compañera(o) (057)",2744,,3,525,1035,864,317
"Hijo(a) / hijastro(a) (058)",4517,103,2378,1563,380,92,1
"Yerno / nuera (059)",147,,,103,37,7,
"Nieto(a) (060)",652,43,461,141,7,,
"Padres / suegros (061)",166,,,,2,43,121
"Otro(a) pariente (062)",545,7,204,175,72,55,32
"Trabajador(a) del hogar (063)",10,,1,4,2,2,1
"Pensionistas (064)",2,,,,1,,1
"Otro(a) no pariente (065)",116,1,22,47,24,13,9
,,,,,,,
"RURAL (066)",8870,159,2671,2034,1495,1547,964
"Jefe o Jefa (067)",2916,,3,418,800,998,697
"Esposa(o) / compañera(o) (068)",1508,,5,336,505,465,197
"Hijo(a) / hijastro(a) (069)",3671,128,2278,1089,140,36,
"Yerno / nuera (070)",54,,,35,17,1,1
"Nieto(a) (071)",353,19,276,58,,,
"Padres / suegros (072)",59,,,,,13,46
"Otro(a) pariente (073)",272,10,105,82,27,27,21
"Trabajador(a) del hogar (074)",3,,,3,,,
"Pensionistas (075)",1,,,,1,,
"Otro(a) no pariente (076)",33,2,4,13,5,7,2
"Hombres (077)",4509,79,1357,1058,745,786,484
"Jefe o Jefa (078)",2125,,3,310,620,732,460
"Esposa(o) / compañera(o) (079)",63,,3,17,18,16,9
"Hijo(a) / hijastro(a) (080)",1953,64,1168,624,79,18,
"Yerno / nuera (081)",23,,,16,7,,
"Nieto(a) (082)",168,8,129,31,,,
"Padres / suegros (083)",11,,,,,2,9
"Otro(a) pariente (084)",141,6,50,49,16,15,5
"Pensionistas (086)",1,,,,1,,
"Otro(a) no pariente (087)",24,1,4,11,4,3,1
"Mujeres (088)",4361,80,1314,976,750,761,480
"Jefe o Jefa (089)",791,,,108,180,266,237
"Esposa(o) / compañera(o) (090)",1445,,2,319,487,449,188
"Hijo(a) / hijastro(a) (091)",1718,64,1110,465,61,18,
"Yerno / nuera (092)",31,,,19,10,1,1
"Nieto(a) (093)",185,11,147,27,,,
"Padres / suegros (094)",48,,,,,11,37
"Otro(a) pariente (095)",131,4,55,33,11,12,16
"Trabajador(a) del hogar (096)",3,,,3,,,
"Otro(a) no pariente (098)",9,1,,2,1,4,1
