"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SECHURA (000)",15117,89,277,752,1426,2731,6961,2881
"De 12 a 14 años (001)",9,,,,,,,9
"De 15 a 19 años (002)",544,,,,,,350,194
"De 20 a 24 años (003)",2157,,,,,3,1484,670
"De 25 a 29 años (004)",2311,,,,,45,1766,500
"De 30 a 34 años (005)",1985,,,,1,186,1491,307
"De 35 a 39 años (006)",1823,,,,11,449,1122,241
"De 40 a 44 años (007)",1434,,,,53,641,543,197
"De 45 a 49 años (008)",1222,,,2,185,707,183,145
"De 50 y más años (009)",3632,89,277,750,1176,700,22,618
"Sin nivel (010)",1282,46,96,201,225,206,201,307
"De 15 a 19 años (012)",4,,,,,,2,2
"De 20 a 24 años (013)",35,,,,,,26,9
"De 25 a 29 años (014)",50,,,,,2,36,12
"De 30 a 34 años (015)",62,,,,,3,42,17
"De 35 a 39 años (016)",71,,,,1,19,37,14
"De 40 a 44 años (017)",102,,,,6,35,35,26
"De 45 a 49 años (018)",95,,,,10,52,16,17
"De 50 y más años (019)",863,46,96,201,208,95,7,210
"Educacion Inicial (020)",66,,,,,2,47,17
"De 15 a 19 años (022)",4,,,,,,4,
"De 20 a 24 años (023)",10,,,,,,8,2
"De 25 a 29 años (024)",27,,,,,1,18,8
"De 30 a 34 años (025)",16,,,,,,10,6
"De 35 a 39 años (026)",9,,,,,1,7,1
"Primaria (030)",8302,38,160,497,955,1729,3569,1354
"De 12 a 14 años (031)",6,,,,,,,6
"De 15 a 19 años (032)",251,,,,,,163,88
"De 20 a 24 años (033)",934,,,,,1,679,254
"De 25 a 29 años (034)",1063,,,,,10,844,209
"De 30 a 34 años (035)",1001,,,,,92,769,140
"De 35 a 39 años (036)",1012,,,,6,229,654,123
"De 40 a 44 años (037)",865,,,,30,398,327,110
"De 45 a 49 años (038)",820,,,2,115,498,120,85
"De 50 y más años (039)",2350,38,160,495,804,501,13,339
"Secundaria (040)",3389,3,15,33,150,507,2026,655
"De 12 a 14 años (041)",3,,,,,,,3
"De 15 a 19 años (042)",257,,,,,,166,91
"De 20 a 24 años (043)",772,,,,,1,550,221
"De 25 a 29 años (044)",689,,,,,20,539,130
"De 30 a 34 años (045)",537,,,,1,68,397,71
"De 35 a 39 años (046)",421,,,,3,123,242,53
"De 40 a 44 años (047)",274,,,,12,135,99,28
"De 45 a 49 años (048)",194,,,,41,97,31,25
"De 50 y más años (049)",242,3,15,33,93,63,2,33
"Sup. no Univ. incompleta (050)",571,1,1,5,21,72,337,134
"De 15 a 19 años (052)",26,,,,,,14,12
