"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia SATIPO (000)",90763,53346,267,845,32630,1219,82,111,455,1808
"Hombres (001)",32863,27485,165,390,2587,638,49,64,452,1033
"Mujeres (002)",57900,25861,102,455,30043,581,33,47,3,775
"De 06 a 14 años (003)",43407,40842,,,807,933,7,28,,790
"Hombres (004)",22124,20979,,,283,486,6,15,,355
"Mujeres (005)",21283,19863,,,524,447,1,13,,435
"De 15 a 29 años (006)",27493,12149,24,268,14165,,42,39,454,352
"Hombres (007)",8253,6404,11,96,1028,,24,21,451,218
"Mujeres (008)",19240,5745,13,172,13137,,18,18,3,134
"De 30 a 44 años (009)",10967,246,26,177,10285,,19,14,1,199
"Hombres (010)",829,75,9,68,518,,13,8,1,137
"Mujeres (011)",10138,171,17,109,9767,,6,6,,62
"De 45 a 64 años (012)",6334,94,111,225,5635,16,10,14,,229
"Hombres (013)",766,22,69,107,390,7,6,10,,155
"Mujeres (014)",5568,72,42,118,5245,9,4,4,,74
"De 65 y más años (015)",2562,15,106,175,1738,270,4,16,,238
"Hombres (016)",891,5,76,119,368,145,,10,,168
"Mujeres (017)",1671,10,30,56,1370,125,4,6,,70
,,,,,,,,,,
"AREA URBANA (018)",24897,15686,174,435,7950,188,17,33,,414
"Hombres (019)",9600,7919,109,199,1021,86,9,16,,241
"Mujeres (020)",15297,7767,65,236,6929,102,8,17,,173
"De 06 a 14 años (021)",11244,10871,,,217,75,,9,,72
"Hombres (022)",5576,5407,,,97,36,,3,,33
"Mujeres (023)",5668,5464,,,120,39,,6,,39
"De 15 a 29 años (024)",8069,4715,11,106,3081,,8,14,,134
"Hombres (025)",2984,2473,4,41,374,,5,8,,79
"Mujeres (026)",5085,2242,7,65,2707,,3,6,,55
"De 30 a 44 años (027)",2836,79,16,102,2563,,4,4,,68
"Hombres (028)",336,33,5,38,218,,2,2,,38
"Mujeres (029)",2500,46,11,64,2345,,2,2,,30
"De 45 a 64 años (030)",1838,19,76,129,1540,5,4,,,65
"Hombres (031)",345,6,49,61,178,2,2,,,47
"Mujeres (032)",1493,13,27,68,1362,3,2,,,18
"De 65 y más años (033)",910,2,71,98,549,108,1,6,,75
"Hombres (034)",359,,51,59,154,48,,3,,44
"Mujeres (035)",551,2,20,39,395,60,1,3,,31
,,,,,,,,,,
"AREA RURAL (036)",65866,37660,93,410,24680,1031,65,78,455,1394
"Hombres (037)",23263,19566,56,191,1566,552,40,48,452,792
"Mujeres (038)",42603,18094,37,219,23114,479,25,30,3,602
"De 06 a 14 años (039)",32163,29971,,,590,858,7,19,,718
"Hombres (040)",16548,15572,,,186,450,6,12,,322
"Mujeres (041)",15615,14399,,,404,408,1,7,,396
"De 15 a 29 años (042)",19424,7434,13,162,11084,,34,25,454,218
"Hombres (043)",5269,3931,7,55,654,,19,13,451,139
"Mujeres (044)",14155,3503,6,107,10430,,15,12,3,79
"De 30 a 44 años (045)",8131,167,10,75,7722,,15,10,1,131
"Hombres (046)",493,42,4,30,300,,11,6,1,99
"Mujeres (047)",7638,125,6,45,7422,,4,4,,32
"De 45 a 64 años (048)",4496,75,35,96,4095,11,6,14,,164
"Hombres (049)",421,16,20,46,212,5,4,10,,108
"Mujeres (050)",4075,59,15,50,3883,6,2,4,,56
"De 65 y más años (051)",1652,13,35,77,1189,162,3,10,,163
"Hombres (052)",532,5,25,60,214,97,,7,,124
"Mujeres (053)",1120,8,10,17,975,65,3,3,,39
