"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia AYABACA (000)",72510,65273,7237
"Hombres (001)",37040,34102,2938
"Mujeres (002)",35470,31171,4299
"De 18 a 29 años (003)",22477,20012,2465
"Hombres (004)",11764,10376,1388
"Mujeres (005)",10713,9636,1077
"De 30 a 44 años (006)",22089,21099,990
"Hombres (007)",11025,10622,403
"Mujeres (008)",11064,10477,587
"De 45 a 64 años (009)",18490,17011,1479
"Hombres (010)",9334,8891,443
"Mujeres (011)",9156,8120,1036
"De 65 y más años (012)",9454,7151,2303
"Hombres (013)",4917,4213,704
"Mujeres (014)",4537,2938,1599
,,,
"URBANA (015)",9779,9459,320
"Hombres (016)",4925,4807,118
"Mujeres (017)",4854,4652,202
"De 18 a 29 años (018)",2905,2800,105
"Hombres (019)",1492,1434,58
"Mujeres (020)",1413,1366,47
"De 30 a 44 años (021)",3215,3177,38
"Hombres (022)",1583,1567,16
"Mujeres (023)",1632,1610,22
"De 45 a 64 años (024)",2510,2466,44
"Hombres (025)",1268,1257,11
"Mujeres (026)",1242,1209,33
"De 65 y más años (027)",1149,1016,133
"Hombres (028)",582,549,33
"Mujeres (029)",567,467,100
,,,
"RURAL (030)",62731,55814,6917
"Hombres (031)",32115,29295,2820
"Mujeres (032)",30616,26519,4097
"De 18 a 29 años (033)",19572,17212,2360
"Hombres (034)",10272,8942,1330
"Mujeres (035)",9300,8270,1030
"De 30 a 44 años (036)",18874,17922,952
"Hombres (037)",9442,9055,387
"Mujeres (038)",9432,8867,565
"De 45 a 64 años (039)",15980,14545,1435
"Hombres (040)",8066,7634,432
"Mujeres (041)",7914,6911,1003
"De 65 y más años (042)",8305,6135,2170
"Hombres (043)",4335,3664,671
"Mujeres (044)",3970,2471,1499
