"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SAN MARCOS (000)",855,44,446,209,112,44
"Sin nivel (001)",68,3,20,16,20,9
"Educación inicial (002)",1,,,1,,
"Primaria (003)",544,35,276,122,77,34
"Secundaria (004)",169,6,114,39,10,
"Superior no univ. incompleta (005)",14,,9,5,,
"Superior no univ. completa (006)",44,,18,21,4,1
"Superior univ. incompleta (007)",2,,1,1,,
"Superior univ. completa (008)",13,,8,4,1,
"Hombres (010)",659,20,318,179,101,41
"Sin nivel (011)",53,1,17,11,16,8
"Primaria (013)",417,17,185,111,72,32
"Secundaria (014)",141,2,94,36,9,
"Superior no univ. incompleta (015)",11,,7,4,,
"Superior no univ. completa (016)",26,,8,14,3,1
"Superior univ. incompleta (017)",2,,1,1,,
"Superior univ. completa (018)",9,,6,2,1,
"Mujeres (020)",196,24,128,30,11,3
"Sin nivel (021)",15,2,3,5,4,1
"Educación inicial (022)",1,,,1,,
"Primaria (023)",127,18,91,11,5,2
"Secundaria (024)",28,4,20,3,1,
"Superior no univ. incompleta (025)",3,,2,1,,
"Superior no univ. completa (026)",18,,10,7,1,
"Superior univ. completa (028)",4,,2,2,,
,,,,,,
"Area Urbana (030)",183,9,82,58,29,5
"Sin nivel (031)",11,,2,2,6,1
"Primaria (033)",49,4,14,14,14,3
"Secundaria (034)",63,5,41,13,4,
"Superior no univ. incompleta (035)",11,,7,4,,
"Superior no univ. completa (036)",36,,11,20,4,1
"Superior univ. incompleta (037)",2,,1,1,,
"Superior univ. completa (038)",11,,6,4,1,
"Hombres (040)",132,5,57,44,22,4
"Sin nivel (041)",6,,1,,4,1
"Primaria (043)",37,4,7,13,11,2
"Secundaria (044)",51,1,35,12,3,
"Superior no univ. incompleta (045)",9,,6,3,,
"Superior no univ. completa (046)",20,,3,13,3,1
"Superior univ. incompleta (047)",2,,1,1,,
"Superior univ. completa (048)",7,,4,2,1,
"Mujeres (050)",51,4,25,14,7,1
"Sin nivel (051)",5,,1,2,2,
"Primaria (053)",12,,7,1,3,1
"Secundaria (054)",12,4,6,1,1,
"Superior no univ. incompleta (055)",2,,1,1,,
"Superior no univ. completa (056)",16,,8,7,1,
"Superior univ. completa (058)",4,,2,2,,
,,,,,,
"Area Rural (060)",672,35,364,151,83,39
"Sin nivel (061)",57,3,18,14,14,8
"Educación inicial (062)",1,,,1,,
"Primaria (063)",495,31,262,108,63,31
"Secundaria (064)",106,1,73,26,6,
"Superior no univ. incompleta (065)",3,,2,1,,
"Superior no univ. completa (066)",8,,7,1,,
"Superior univ. completa (068)",2,,2,,,
"Hombres (070)",527,15,261,135,79,37
"Sin nivel (071)",47,1,16,11,12,7
"Primaria (073)",380,13,178,98,61,30
"Secundaria (074)",90,1,59,24,6,
"Superior no univ. incompleta (075)",2,,1,1,,
"Superior no univ. completa (076)",6,,5,1,,
"Superior univ. completa (078)",2,,2,,,
"Mujeres (080)",145,20,103,16,4,2
"Sin nivel (081)",10,2,2,3,2,1
"Educación inicial (082)",1,,,1,,
"Primaria (083)",115,18,84,10,2,1
"Secundaria (084)",16,,14,2,,
"Superior no univ. incompleta (085)",1,,1,,,
"Superior no univ. completa (086)",2,,2,,,
