"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia YUNGAY (000)",51656,9832,2851,1013,37983
"Quechua (001)",37806,7928,850,282,28750
"Aymara (002)",30,7,2,1,21
"Asháninka (003)",2,1,,,1
"Otra lengua nativa (004)",4,,1,,3
"Castellano (005)",13678,1880,1995,729,9092
"Idioma Extranjero (006)",10,,1,,9
"Es Sordomudo/a (007)",126,16,2,1,107
"Hombres (009)",25411,4804,1438,638,18549
"Quechua (010)",18232,3817,465,166,13786
"Aymara (011)",11,5,2,,4
"Asháninka (012)",2,1,,,1
"Otra lengua nativa (013)",1,,,,1
"Castellano (014)",7101,973,969,471,4704
"Idioma Extranjero (015)",4,,,,4
"Es Sordomudo/a (016)",60,8,2,1,49
"Mujeres (018)",26245,5028,1413,375,19434
"Quechua (019)",19574,4111,385,116,14964
"Aymara (020)",19,2,,1,17
"Otra lengua nativa (022)",3,,1,,2
"Castellano (023)",6577,907,1026,258,4388
"Idioma Extranjero (024)",6,,1,,5
"Es Sordomudo/a (025)",66,8,,,58
,,,,,
"URBANA (027)",12611,1240,1946,787,8653
"Quechua (028)",4516,339,377,128,3673
"Aymara (029)",8,,2,,6
"Otra lengua nativa (031)",2,,1,,1
"Castellano (032)",8061,898,1565,659,4953
"Idioma Extranjero (033)",3,,,,3
"Es Sordomudo/a (034)",21,3,1,,17
"Hombres (036)",6343,627,979,509,4241
"Quechua (037)",2159,156,215,78,1711
"Aymara (038)",3,,2,,1
"Otra lengua nativa (040)",1,,,,1
"Castellano (041)",4165,469,761,431,2516
"Idioma Extranjero (042)",1,,,,1
"Es Sordomudo/a (043)",14,2,1,,11
"Mujeres (045)",6268,613,967,278,4412
"Quechua (046)",2357,183,162,50,1962
"Aymara (047)",5,,,,5
"Otra lengua nativa (049)",1,,1,,
"Castellano (050)",3896,429,804,228,2437
"Idioma Extranjero (051)",2,,,,2
"Es Sordomudo/a (052)",7,1,,,6
,,,,,
"RURAL (054)",39045,8592,905,226,29330
"Quechua (055)",33290,7589,473,154,25077
"Aymara (056)",22,7,,1,15
"Asháninka (057)",2,1,,,1
"Otra lengua nativa (058)",2,,,,2
"Castellano (059)",5617,982,430,70,4139
"Idioma Extranjero (060)",7,,1,,6
"Es Sordomudo/a (061)",105,13,1,1,90
"Hombres (063)",19068,4177,459,129,14308
"Quechua (064)",16073,3661,250,88,12075
"Aymara (065)",8,5,,,3
"Asháninka (066)",2,1,,,1
"Castellano (068)",2936,504,208,40,2188
"Idioma Extranjero (069)",3,,,,3
"Es Sordomudo/a (070)",46,6,1,1,38
"Mujeres (072)",19977,4415,446,97,15022
"Quechua (073)",17217,3928,223,66,13002
"Aymara (074)",14,2,,1,12
"Otra lengua nativa (076)",2,,,,2
"Castellano (077)",2681,478,222,30,1951
"Idioma Extranjero (078)",4,,1,,3
"Es Sordomudo/a (079)",59,7,,,52
