"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia SAN ROMAN (000)",74508,66687,59029,3714,3944,7821,279,1042,6206,294
"Casa independiente (001)",66442,59101,52118,3443,3540,7341,240,1025,5840,236
"Departamento en edificio (002)",788,758,689,61,8,30,5,5,14,6
"Vivienda en quinta (003)",774,727,684,26,17,47,19,2,19,7
"Vivienda en casa de vecindad (004)",5409,5318,5208,100,10,91,15,10,59,7
"Choza o cabaña (005)",800,608,241,5,362,192,,,159,33
"Vivienda improvisada (006)",222,102,16,79,7,120,,,115,5
"Local no dest.para hab. humana (007)",54,54,54,,,,,,,
"Otro tipo (008)",19,19,19,,,,,,,
,,,,,,,,,,
"URBANA (009)",62891,57244,53099,3497,648,5647,252,856,4383,156
"Casa independiente (010)",55626,50267,46430,3231,606,5359,213,839,4176,131
"Departamento en edificio (011)",788,758,689,61,8,30,5,5,14,6
"Vivienda en quinta (012)",774,727,684,26,17,47,19,2,19,7
"Vivienda en casa de vecindad (013)",5409,5318,5208,100,10,91,15,10,59,7
"Vivienda improvisada (015)",222,102,16,79,7,120,,,115,5
"Local no dest.para hab. humana (016)",53,53,53,,,,,,,
"Otro tipo (017)",19,19,19,,,,,,,
,,,,,,,,,,
"RURAL (018)",11617,9443,5930,217,3296,2174,27,186,1823,138
"Casa independiente (019)",10816,8834,5688,212,2934,1982,27,186,1664,105
"Choza o cabaña (023)",800,608,241,5,362,192,,,159,33
"Local no dest.para hab. humana (025)",1,1,1,,,,,,,
