"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia LAMAS",,,,,
"Viviendas particulares (001)",2287,251,190,1337,509
"Ocupantes presentes (002)",9064,913,826,5263,2062
"Casa independiente",,,,,
"Viviendas particulares (004)",2193,231,187,1286,489
"Ocupantes presentes (005)",8772,853,821,5116,1982
"Departamento en edificio",,,,,
"Viviendas particulares (007)",2,,1,,1
"Ocupantes presentes (008)",4,,1,,3
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",62,14,1,34,13
"Ocupantes presentes (011)",164,33,2,77,52
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",18,3,,12,3
"Ocupantes presentes (014)",81,17,,49,15
"Choza o cabaña",,,,,
"Viviendas particulares (016)",5,3,1,1,
"Ocupantes presentes (017)",18,10,2,6,
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",6,,,3,3
"Ocupantes presentes (020)",20,,,10,10
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",1,,,1,
"Ocupantes presentes (023)",5,,,5,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",2130,204,150,1284,492
"Ocupantes presentes (029)",8375,712,643,5027,1993
"Casa independiente",,,,,
"Viviendas particulares (031)",2041,187,148,1234,472
"Ocupantes presentes (032)",8101,662,640,4886,1913
"Departamento en edificio",,,,,
"Viviendas particulares (034)",2,,1,,1
"Ocupantes presentes (035)",4,,1,,3
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",62,14,1,34,13
"Ocupantes presentes (038)",164,33,2,77,52
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",18,3,,12,3
"Ocupantes presentes (041)",81,17,,49,15
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",6,,,3,3
"Ocupantes presentes (047)",20,,,10,10
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",1,,,1,
"Ocupantes presentes (050)",5,,,5,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",157,47,40,53,17
"Ocupantes presentes (056)",689,201,183,236,69
"Casa independiente",,,,,
"Viviendas particulares (058)",152,44,39,52,17
"Ocupantes presentes (059)",671,191,181,230,69
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",5,3,1,1,
"Ocupantes presentes (071)",18,10,2,6,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
