"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia URUBAMBA (000)",525,10,279,139,83,14
"Sin nivel (001)",21,3,3,7,5,3
"Educación inicial (002)",2,,2,,,
"Primaria (003)",109,5,39,33,23,9
"Secundaria (004)",266,2,167,58,38,1
"Superior no univ. incompleta (005)",35,,18,10,6,1
"Superior no univ. completa (006)",48,,28,16,4,
"Superior univ. incompleta (007)",17,,10,5,2,
"Superior univ. completa (008)",27,,12,10,5,
"Hombres (010)",372,7,181,96,74,14
"Sin nivel (011)",15,1,2,5,4,3
"Educación inicial (012)",2,,2,,,
"Primaria (013)",85,4,28,24,20,9
"Secundaria (014)",197,2,112,48,34,1
"Superior no univ. incompleta (015)",20,,8,5,6,1
"Superior no univ. completa (016)",27,,16,8,3,
"Superior univ. incompleta (017)",9,,6,1,2,
"Superior univ. completa (018)",17,,7,5,5,
"Mujeres (020)",153,3,98,43,9,
"Sin nivel (021)",6,2,1,2,1,
"Primaria (023)",24,1,11,9,3,
"Secundaria (024)",69,,55,10,4,
"Superior no univ. incompleta (025)",15,,10,5,,
"Superior no univ. completa (026)",21,,12,8,1,
"Superior univ. incompleta (027)",8,,4,4,,
"Superior univ. completa (028)",10,,5,5,,
,,,,,,
"Area Urbana (030)",335,5,188,84,52,6
"Sin nivel (031)",4,,1,2,1,
"Primaria (033)",57,3,22,17,10,5
"Secundaria (034)",165,2,106,30,27,
"Superior no univ. incompleta (035)",29,,15,8,5,1
"Superior no univ. completa (036)",40,,24,13,3,
"Superior univ. incompleta (037)",14,,9,4,1,
"Superior univ. completa (038)",26,,11,10,5,
"Hombres (040)",207,4,107,46,44,6
"Sin nivel (041)",1,,,,1,
"Primaria (043)",36,2,14,8,7,5
"Secundaria (044)",111,2,63,23,23,
"Superior no univ. incompleta (045)",16,,6,4,5,1
"Superior no univ. completa (046)",20,,13,5,2,
"Superior univ. incompleta (047)",7,,5,1,1,
"Superior univ. completa (048)",16,,6,5,5,
"Mujeres (050)",128,1,81,38,8,
"Sin nivel (051)",3,,1,2,,
"Primaria (053)",21,1,8,9,3,
"Secundaria (054)",54,,43,7,4,
"Superior no univ. incompleta (055)",13,,9,4,,
"Superior no univ. completa (056)",20,,11,8,1,
"Superior univ. incompleta (057)",7,,4,3,,
"Superior univ. completa (058)",10,,5,5,,
,,,,,,
"Area Rural (060)",190,5,91,55,31,8
"Sin nivel (061)",17,3,2,5,4,3
"Educación inicial (062)",2,,2,,,
"Primaria (063)",52,2,17,16,13,4
"Secundaria (064)",101,,61,28,11,1
"Superior no univ. incompleta (065)",6,,3,2,1,
"Superior no univ. completa (066)",8,,4,3,1,
"Superior univ. incompleta (067)",3,,1,1,1,
"Superior univ. completa (068)",1,,1,,,
"Hombres (070)",165,3,74,50,30,8
"Sin nivel (071)",14,1,2,5,3,3
"Educación inicial (072)",2,,2,,,
"Primaria (073)",49,2,14,16,13,4
"Secundaria (074)",86,,49,25,11,1
"Superior no univ. incompleta (075)",4,,2,1,1,
"Superior no univ. completa (076)",7,,3,3,1,
"Superior univ. incompleta (077)",2,,1,,1,
"Superior univ. completa (078)",1,,1,,,
"Mujeres (080)",25,2,17,5,1,
"Sin nivel (081)",3,2,,,1,
"Primaria (083)",3,,3,,,
"Secundaria (084)",15,,12,3,,
"Superior no univ. incompleta (085)",2,,1,1,,
"Superior no univ. completa (086)",1,,1,,,
"Superior univ. incompleta (087)",1,,,1,,
