"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PATAZ (000)",1177,436,741
"De 14 a 29 años (001)",662,334,328
"De 30 a 44 años (002)",316,83,233
"De 45 a 64 años (003)",152,19,133
"De 65 y más años (004)",47,,47
"Hombres (005)",990,320,670
"De 14 a 29 años (006)",509,230,279
"De 30 a 44 años (007)",291,72,219
"De 45 a 64 años (008)",144,18,126
"De 65 y más años (009)",46,,46
"Mujeres (010)",187,116,71
"De 14 a 29 años (011)",153,104,49
"De 30 a 44 años (012)",25,11,14
"De 45 a 64 años (013)",8,1,7
"De 65 y más años (014)",1,,1
,,,
"AREA URBANA (015)",283,94,189
"De 14 a 29 años (016)",156,74,82
"De 30 a 44 años (017)",80,13,67
"De 45 a 64 años (018)",42,7,35
"De 65 y más años (019)",5,,5
"Hombres (020)",232,66,166
"De 14 a 29 años (021)",122,53,69
"De 30 a 44 años (022)",67,7,60
"De 45 a 64 años (023)",38,6,32
"De 65 y más años (024)",5,,5
"Mujeres (025)",51,28,23
"De 14 a 29 años (026)",34,21,13
"De 30 a 44 años (027)",13,6,7
"De 45 a 64 años (028)",4,1,3
,,,
"AREA RURAL (030)",894,342,552
"De 14 a 29 años (031)",506,260,246
"De 30 a 44 años (032)",236,70,166
"De 45 a 64 años (033)",110,12,98
"De 65 y más años (034)",42,,42
"Hombres (035)",758,254,504
"De 14 a 29 años (036)",387,177,210
"De 30 a 44 años (037)",224,65,159
"De 45 a 64 años (038)",106,12,94
"De 65 y más años (039)",41,,41
"Mujeres (040)",136,88,48
"De 14 a 29 años (041)",119,83,36
"De 30 a 44 años (042)",12,5,7
"De 45 a 64 años (043)",4,,4
"De 65 y más años (044)",1,,1
