"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MOHO (000)",26447,3494,841,223,21905
"Sin Nivel (001)",5137,766,100,27,4244
"Educación Inicial (002)",767,275,19,8,467
"Primaria (003)",11763,1622,231,76,9843
"Secundaria (004)",7565,759,202,51,6558
"Sup. no Univ. Incompleta (005)",347,14,20,13,300
"Sup. no Univ. Completa (006)",339,16,122,20,181
"Sup. Univ. Incompleta (007)",219,8,25,14,172
"Sup. Univ. Completa (008)",310,34,122,14,140
"Hombres (010)",12983,1795,445,145,10607
"Sin Nivel (011)",1614,380,37,7,1190
"Educación Inicial (012)",359,125,6,3,225
"Primaria (013)",5625,830,97,42,4662
"Secundaria (014)",4499,408,96,37,3961
"Sup. no Univ. Incompleta (015)",248,10,13,13,212
"Sup. no Univ. Completa (016)",240,11,83,16,130
"Sup. Univ. Incompleta (017)",162,6,19,14,123
"Sup. Univ. Completa (018)",236,25,94,13,104
"Mujeres (020)",13464,1699,396,78,11298
"Sin Nivel (021)",3523,386,63,20,3054
"Educación Inicial (022)",408,150,13,5,242
"Primaria (023)",6138,792,134,34,5181
"Secundaria (024)",3066,351,106,14,2597
"Sup. no Univ. Incompleta (025)",99,4,7,,88
"Sup. no Univ. Completa (026)",99,5,39,4,51
"Sup. Univ. Incompleta (027)",57,2,6,,49
"Sup. Univ. Completa (028)",74,9,28,1,36
,,,,,
"URBANA (030)",7560,1026,465,108,5966
"Sin Nivel (031)",1092,183,21,9,879
"Educación Inicial (032)",232,71,10,3,148
"Primaria (033)",2753,428,114,16,2196
"Secundaria (034)",2739,295,127,29,2292
"Sup. no Univ. Incompleta (035)",203,13,13,9,168
"Sup. no Univ. Completa (036)",209,12,82,18,97
"Sup. Univ. Incompleta (037)",151,6,22,11,112
"Sup. Univ. Completa (038)",181,18,76,13,74
"Hombres (040)",3900,537,248,87,3032
"Sin Nivel (041)",401,96,7,5,293
"Educación Inicial (042)",108,26,3,3,76
"Primaria (043)",1308,205,44,10,1050
"Secundaria (044)",1562,173,63,22,1307
"Sup. no Univ. Incompleta (045)",133,9,6,9,109
"Sup. no Univ. Completa (046)",144,9,55,15,65
"Sup. Univ. Incompleta (047)",110,4,16,11,79
"Sup. Univ. Completa (048)",134,15,54,12,53
"Mujeres (050)",3660,489,217,21,2934
"Sin Nivel (051)",691,87,14,4,586
"Educación Inicial (052)",124,45,7,,72
"Primaria (053)",1445,223,70,6,1146
"Secundaria (054)",1177,122,64,7,985
"Sup. no Univ. Incompleta (055)",70,4,7,,59
"Sup. no Univ. Completa (056)",65,3,27,3,32
"Sup. Univ. Incompleta (057)",41,2,6,,33
"Sup. Univ. Completa (058)",47,3,22,1,21
,,,,,
"RURAL (060)",18887,2468,376,115,15939
"Sin Nivel (061)",4045,583,79,18,3365
"Educación Inicial (062)",535,204,9,5,319
"Primaria (063)",9010,1194,117,60,7647
"Secundaria (064)",4826,464,75,22,4266
"Sup. no Univ. Incompleta (065)",144,1,7,4,132
"Sup. no Univ. Completa (066)",130,4,40,2,84
"Sup. Univ. Incompleta (067)",68,2,3,3,60
"Sup. Univ. Completa (068)",129,16,46,1,66
"Hombres (070)",9083,1258,197,58,7575
"Sin Nivel (071)",1213,284,30,2,897
"Educación Inicial (072)",251,99,3,,149
"Primaria (073)",4317,625,53,32,3612
"Secundaria (074)",2937,235,33,15,2654
"Sup. no Univ. Incompleta (075)",115,1,7,4,103
"Sup. no Univ. Completa (076)",96,2,28,1,65
"Sup. Univ. Incompleta (077)",52,2,3,3,44
"Sup. Univ. Completa (078)",102,10,40,1,51
"Mujeres (080)",9804,1210,179,57,8364
"Sin Nivel (081)",2832,299,49,16,2468
"Educación Inicial (082)",284,105,6,5,170
"Primaria (083)",4693,569,64,28,4035
"Secundaria (084)",1889,229,42,7,1612
"Sup. no Univ. Incompleta (085)",29,,,,29
"Sup. no Univ. Completa (086)",34,2,12,1,19
"Sup. Univ. Incompleta (087)",16,,,,16
"Sup. Univ. Completa (088)",27,6,6,,15
