"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LIMA (000)",7159563,417630,180959,1442090,2699233,525417,602118,480900,811216
"Jefe o Jefa (001)",1860569,37298,781,281235,733822,147027,202288,128125,329993
"Esposa(o)/ compa¤era(o) (002)",1126357,35845,824,196402,453331,82658,136356,57756,163185
"Hijo(a)/ hijastro(a) (003)",2680680,213013,128308,629857,932105,191593,162441,212953,210410
"Yerno/ nuera (004)",156992,584,137,6557,76567,18227,21229,11595,22096
"Nieto(a) (005)",359208,65493,37066,127225,89655,12614,6355,14501,6299
"Padres/ suegros (006)",118564,25214,2,49427,28000,2012,4994,1865,7050
"Otro(a) pariente (007)",660062,34322,12074,118967,293318,53952,51192,41217,55020
"Trabajador(a) del hogar (008)",35193,736,61,9201,19496,2444,2100,617,538
"Pensionista (009)",12376,146,6,1350,6233,1195,1159,1008,1279
"Otro(a) no pariente (010)",149562,4979,1700,21869,66706,13695,14004,11263,15346
"Hombres (012)",3475236,174591,92972,646564,1372408,261528,260740,259614,406819
"Jefe o Jefa (013)",1290559,10333,478,162636,529294,107029,136567,97722,246500
"Esposa(o)/ compa¤era(o) (014)",105840,1343,117,13404,50396,8820,9970,7564,14226
"Hijo(a)/ hijastro(a) (015)",1367970,109597,66466,324520,500739,94652,69071,110023,92902
"Yerno/ nuera (016)",83769,212,71,2734,38945,9453,11388,7103,13863
"Nieto(a) (017)",184976,33380,18881,64870,47917,6446,3057,7442,2983
"Padres/ suegros (018)",32991,3261,2,15252,8909,765,1398,768,2636
"Otro(a) pariente (019)",328891,14430,6112,53058,156989,27164,22953,22457,25728
"Trabajador(a) del hogar (020)",1817,33,1,363,1069,122,99,70,60
"Pensionista (021)",6567,30,3,613,3477,607,584,565,688
"Otro(a) no pariente (022)",71856,1972,841,9114,34673,6470,5653,5900,7233
"Mujeres (024)",3684327,243039,87987,795526,1326825,263889,341378,221286,404397
"Jefe o Jefa (025)",570010,26965,303,118599,204528,39998,65721,30403,83493
"Esposa(o)/ compa¤era(o) (026)",1020517,34502,707,182998,402935,73838,126386,50192,148959
"Hijo(a)/ hijastro(a) (027)",1312710,103416,61842,305337,431366,96941,93370,102930,117508
"Yerno/ nuera (028)",73223,372,66,3823,37622,8774,9841,4492,8233
"Nieto(a) (029)",174232,32113,18185,62355,41738,6168,3298,7059,3316
"Padres/ suegros (030)",85573,21953,,34175,19091,1247,3596,1097,4414
"Otro(a) pariente (031)",331171,19892,5962,65909,136329,26788,28239,18760,29292
"Trabajador(a) del hogar (032)",33376,703,60,8838,18427,2322,2001,547,478
"Pensionista (033)",5809,116,3,737,2756,588,575,443,591
"Otro(a) no pariente (034)",77706,3007,859,12755,32033,7225,8351,5363,8113
,,,,,,,,,
"URBANA (036)",7150450,416632,180692,1439054,2695402,525069,601879,480707,811015
"Jefe o Jefa (037)",1857816,37092,779,280347,732543,146907,202197,128046,329905
"Esposa(o)/ compa¤era(o) (038)",1124692,35649,820,195817,452627,82609,136295,57736,163139
