"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia BOLIVAR (000)",13877,6034,1491,126,6231
"Hombres (001)",7171,2898,757,76,3443
"Mujeres (002)",6706,3136,734,50,2788
"PEA (003)",4382,1352,599,60,2374
"Hombres (004)",3560,1079,389,44,2050
"Mujeres (005)",822,273,210,16,324
"Ocupada (006)",4256,1307,595,59,2298
"Hombres (007)",3456,1045,387,43,1983
"Mujeres (008)",800,262,208,16,315
"Desocupada (009)",126,45,4,1,76
"Hombres (010)",104,34,2,1,67
"Mujeres (011)",22,11,2,,9
"No PEA (012)",9495,4682,892,66,3857
"Hombres (013)",3611,1819,368,32,1393
"Mujeres (014)",5884,2863,524,34,2464
,,,,,
"URBANA (018)",4984,1911,812,85,2180
"Hombres (019)",2504,863,416,51,1177
"Mujeres (020)",2480,1048,396,34,1003
"PEA (021)",1740,430,424,40,849
"Hombres (022)",1227,291,246,28,664
"Mujeres (023)",513,139,178,12,185
"Ocupada (024)",1670,411,420,39,803
"Hombres (025)",1172,277,244,27,626
"Mujeres (026)",498,134,176,12,177
"Desocupada (027)",70,19,4,1,46
"Hombres (028)",55,14,2,1,38
"Mujeres (029)",15,5,2,,8
"No PEA (030)",3244,1481,388,45,1331
"Hombres (031)",1277,572,170,23,513
"Mujeres (032)",1967,909,218,22,818
,,,,,
"RURAL (036)",8893,4123,679,41,4051
"Hombres (037)",4667,2035,341,25,2266
"Mujeres (038)",4226,2088,338,16,1785
"PEA (039)",2642,922,175,20,1525
"Hombres (040)",2333,788,143,16,1386
"Mujeres (041)",309,134,32,4,139
"Ocupada (042)",2586,896,175,20,1495
"Hombres (043)",2284,768,143,16,1357
"Mujeres (044)",302,128,32,4,138
"Desocupada (045)",56,26,,,30
"Hombres (046)",49,20,,,29
"Mujeres (047)",7,6,,,1
"No PEA (048)",6251,3201,504,21,2526
"Hombres (049)",2334,1247,198,9,880
"Mujeres (050)",3917,1954,306,12,1646
