"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHOTA (000)",150794,40758,9027,1869,99427
"Quechua (001)",404,81,23,14,297
"Aymara (002)",22,9,3,6,10
"Asháninka (003)",16,10,,6,5
"Otra lengua nativa (004)",48,28,5,1,15
"Castellano (005)",149816,40543,8990,1838,98708
"Idioma Extranjero (006)",4,,1,3,1
"Es Sordomudo/a (007)",484,87,5,1,391
"Hombres (009)",73069,19514,4706,1153,47927
"Quechua (010)",213,38,20,14,152
"Aymara (011)",9,4,2,3,3
"Asháninka (012)",5,4,,1,1
"Otra lengua nativa (013)",33,22,2,,9
"Castellano (014)",72564,19399,4678,1132,47570
"Idioma Extranjero (015)",4,,1,3,1
"Es Sordomudo/a (016)",241,47,3,,191
"Mujeres (018)",77725,21244,4321,716,51500
"Quechua (019)",191,43,3,,145
"Aymara (020)",13,5,1,3,7
"Asháninka (021)",11,6,,5,4
"Otra lengua nativa (022)",15,6,3,1,6
"Castellano (023)",77252,21144,4312,706,51138
"Es Sordomudo/a (025)",243,40,2,1,200
,,,,,
"URBANA (027)",30626,4899,6392,1036,18366
"Quechua (028)",30,5,6,4,16
"Aymara (029)",9,2,3,1,4
"Asháninka (030)",6,4,,2,2
"Otra lengua nativa (031)",15,1,5,,9
"Castellano (032)",30524,4875,6374,1028,18310
"Idioma Extranjero (033)",2,,,1,1
"Es Sordomudo/a (034)",40,12,4,,24
"Hombres (036)",14944,2408,3111,611,8863
"Quechua (037)",18,2,3,4,10
"Aymara (038)",5,1,2,,2
"Asháninka (039)",2,2,,1,
"Otra lengua nativa (040)",7,,2,,5
"Castellano (041)",14889,2395,3102,605,8834
"Idioma Extranjero (042)",2,,,1,1
"Es Sordomudo/a (043)",21,8,2,,11
"Mujeres (045)",15682,2491,3281,425,9503
"Quechua (046)",12,3,3,,6
"Aymara (047)",4,1,1,1,2
"Asháninka (048)",4,2,,1,2
"Otra lengua nativa (049)",8,1,3,,4
"Castellano (050)",15635,2480,3272,423,9476
"Es Sordomudo/a (052)",19,4,2,,13
,,,,,
"RURAL (054)",120168,35859,2635,833,81061
"Quechua (055)",374,76,17,10,281
"Aymara (056)",13,7,,5,6
"Asháninka (057)",10,6,,4,3
"Otra lengua nativa (058)",33,27,,1,6
"Castellano (059)",119292,35668,2616,810,80398
"Idioma Extranjero (060)",2,,1,2,
"Es Sordomudo/a (061)",444,75,1,1,367
"Hombres (063)",58125,17106,1595,542,39064
"Quechua (064)",195,36,17,10,142
"Aymara (065)",4,3,,3,1
"Asháninka (066)",3,2,,,1
"Otra lengua nativa (067)",26,22,,,4
"Castellano (068)",57675,17004,1576,527,38736
"Idioma Extranjero (069)",2,,1,2,
"Es Sordomudo/a (070)",220,39,1,,180
"Mujeres (072)",62043,18753,1040,291,41997
"Quechua (073)",179,40,,,139
"Aymara (074)",9,4,,2,5
"Asháninka (075)",7,4,,4,2
"Otra lengua nativa (076)",7,5,,1,2
"Castellano (077)",61617,18664,1040,283,41662
"Es Sordomudo/a (079)",224,36,,1,187
