"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CAYLLOMA (000)",20664,12253,8411
"Red pública dentro de la vivienda (001)",6455,5725,730
"Red pública fuera de la vivienda (002)",2001,1734,267
"Pilón de uso público (003)",474,211,263
"Camión - cisterna u otro similar (004)",147,28,119
"Pozo (005)",361,80,281
"Río, acequia, manatial o similar (006)",10486,4162,6324
"Vecino (007)",341,121,220
"Otro (008)",399,192,207
,,,
"URBANA (010)",13299,9318,3981
"Red pública dentro de la vivienda (011)",6177,5585,592
"Red pública fuera de la vivienda (012)",1952,1727,225
"Pilón de uso público (013)",302,196,106
"Camión - cisterna u otro similar (014)",104,17,87
"Pozo (015)",144,52,92
"Río, acequia, manatial o similar (016)",4029,1485,2544
"Vecino (017)",275,107,168
"Otro (018)",316,149,167
,,,
"RURAL (020)",7365,2935,4430
"Red pública dentro de la vivienda (021)",278,140,138
"Red pública fuera de la vivienda (022)",49,7,42
"Pilón de uso público (023)",172,15,157
"Camión - cisterna u otro similar (024)",43,11,32
"Pozo (025)",217,28,189
"Río, acequia, manatial o similar (026)",6457,2677,3780
"Vecino (027)",66,14,52
"Otro (028)",83,43,40
