"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ALTO AMAZONAS (000)",32603,5519,5703,15010,819,4541,1011
"Agric., ganadería, caza y silvicultura (001)",16789,32,3253,9350,408,3746,
"Pesca (002)",301,2,111,56,1,131,
"Explotación de minas y canteras (003)",21,10,9,1,,1,
"Industrias manufactureras (004)",1103,55,423,524,60,41,
"Suministro de electricidad, gas y agua (005)",51,15,35,1,,,
"Construcción (006)",1159,65,852,197,35,10,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3805,735,95,2444,166,365,
"Venta, mant.y rep. veh.autom y motoc. (008)",370,69,68,207,19,7,
"Comercio al por mayor (009)",186,67,7,75,19,18,
"Comercio al por menor (010)",3249,599,20,2162,128,340,
"Hoteles y restaurantes (011)",1043,280,70,590,33,70,
"Trans., almac. y comunicaciones (012)",1932,380,405,1066,47,34,
"Intermediación financiera (013)",44,41,,2,1,,
"Activid.inmobil., empres. y alquileres (014)",682,519,43,91,20,9,
"Admin.pub. y defensa; p. segur soc.afil (015)",603,515,88,,,,
"Enseñanza (016)",1927,1792,,123,1,11,
"Servicios sociales y de salud (017)",453,409,3,30,7,4,
"Otras activ. serv.comun.soc y personales (018)",483,251,51,166,10,5,
"Hogares privados con servicio doméstico (019)",1011,,,,,,1011
"Actividad economica no especificada (021)",1196,418,265,369,30,114,
"Hombres (022)",23190,3243,4921,11975,641,2352,58
"Agric., ganadería, caza y silvicultura (023)",13667,27,2718,8565,375,1982,
"Pesca (024)",287,1,105,54,1,126,
"Explotación de minas y canteras (025)",19,9,9,1,,,
"Industrias manufactureras (026)",840,38,394,340,48,20,
"Suministro de electricidad, gas y agua (027)",44,10,33,1,,,
"Construcción (028)",1129,57,833,194,35,10,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1897,402,90,1215,92,98,
"Venta, mant.y rep. veh.autom y motoc. (030)",348,61,66,198,17,6,
"Comercio al por mayor (031)",100,33,7,42,16,2,
"Comercio al por menor (032)",1449,308,17,975,59,90,
"Hoteles y restaurantes (033)",224,92,19,88,9,16,
"Trans., almac. y comunicaciones (034)",1828,315,395,1041,43,34,
"Intermediación financiera (035)",28,28,,,,,
"Activid.inmobil., empres. y alquileres (036)",492,361,33,77,15,6,
"Admin.pub. y defensa; p. segur soc.afil (037)",430,374,56,,,,
"Enseñanza (038)",1086,1019,,59,1,7,
"Servicios sociales y de salud (039)",219,187,2,22,6,2,
"Otras activ. serv.comun.soc y personales (040)",275,138,35,94,6,2,
"Hogares privados con servicio doméstico (041)",58,,,,,,58
"Actividad economica no especificada (043)",667,185,199,224,10,49,
"Mujeres (044)",9413,2276,782,3035,178,2189,953
"Agric., ganadería, caza y silvicultura (045)",3122,5,535,785,33,1764,
"Pesca (046)",14,1,6,2,,5,
"Explotación de minas y canteras (047)",2,1,,,,1,
"Industrias manufactureras (048)",263,17,29,184,12,21,
"Suministro de electricidad, gas y agua (049)",7,5,2,,,,
"Construcción (050)",30,8,19,3,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1908,333,5,1229,74,267,
"Venta, mant.y rep. veh.autom y motoc. (052)",22,8,2,9,2,1,
"Comercio al por mayor (053)",86,34,,33,3,16,
"Comercio al por menor (054)",1800,291,3,1187,69,250,
"Hoteles y restaurantes (055)",819,188,51,502,24,54,
"Trans., almac. y comunicaciones (056)",104,65,10,25,4,,
"Intermediación financiera (057)",16,13,,2,1,,
"Activid.inmobil., empres. y alquileres (058)",190,158,10,14,5,3,
"Admin.pub. y defensa; p. segur soc.afil (059)",173,141,32,,,,
"Enseñanza (060)",841,773,,64,,4,
"Servicios sociales y de salud (061)",234,222,1,8,1,2,
"Otras activ. serv.comun.soc y personales (062)",208,113,16,72,4,3,
"Hogares privados con servicio doméstico (063)",953,,,,,,953
"Actividad economica no especificada (065)",529,233,66,145,20,65,
,,,,,,,
"URBANA (066)",21358,5144,3398,9033,674,2170,939
"Agric., ganadería, caza y silvicultura (067)",6474,30,1101,3613,277,1453,
"Pesca (068)",263,1,108,48,1,105,
"Explotación de minas y canteras (069)",20,10,8,1,,1,
"Industrias manufactureras (070)",1028,51,376,507,56,38,
"Suministro de electricidad, gas y agua (071)",51,15,35,1,,,
"Construcción (072)",1118,64,820,191,35,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",3697,727,91,2371,158,350,
"Venta, mant.y rep. veh.autom y motoc. (074)",362,69,65,202,19,7,
"Comercio al por mayor (075)",182,67,7,72,18,18,
"Comercio al por menor (076)",3153,591,19,2097,121,325,
"Hoteles y restaurantes (077)",1025,278,66,583,32,66,
"Trans., almac. y comunicaciones (078)",1892,375,388,1048,47,34,
"Intermediación financiera (079)",44,41,,2,1,,
"Activid.inmobil., empres. y alquileres (080)",673,512,43,91,20,7,
"Admin.pub. y defensa; p. segur soc.afil (081)",584,499,85,,,,
"Enseñanza (082)",1644,1518,,118,,8,
"Servicios sociales y de salud (083)",415,374,3,28,7,3,
"Otras activ. serv.comun.soc y personales (084)",457,242,40,160,10,5,
"Hogares privados con servicio doméstico (085)",939,,,,,,939
"Actividad economica no especificada (087)",1034,407,234,271,30,92,
"Hombres (088)",13737,2978,2950,6353,504,902,50
"Agric., ganadería, caza y silvicultura (089)",4813,25,870,3096,248,574,
"Pesca (090)",250,,103,46,1,100,
"Explotación de minas y canteras (091)",18,9,8,1,,,
"Industrias manufactureras (092)",771,34,348,325,44,20,
"Suministro de electricidad, gas y agua (093)",44,10,33,1,,,
"Construcción (094)",1090,56,802,189,35,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1829,395,87,1171,87,89,
"Venta, mant.y rep. veh.autom y motoc. (096)",341,61,64,193,17,6,
"Comercio al por mayor (097)",98,33,7,40,16,2,
"Comercio al por menor (098)",1390,301,16,938,54,81,
"Hoteles y restaurantes (099)",224,92,19,88,9,16,
"Trans., almac. y comunicaciones (100)",1790,311,378,1024,43,34,
"Intermediación financiera (101)",28,28,,,,,
"Activid.inmobil., empres. y alquileres (102)",484,354,33,77,15,5,
"Admin.pub. y defensa; p. segur soc.afil (103)",414,360,54,,,,
"Enseñanza (104)",876,816,,56,,4,
"Servicios sociales y de salud (105)",198,168,2,20,6,2,
"Otras activ. serv.comun.soc y personales (106)",261,135,26,92,6,2,
"Hogares privados con servicio doméstico (107)",50,,,,,,50
"Actividad economica no especificada (109)",597,185,187,167,10,48,
"Mujeres (110)",7621,2166,448,2680,170,1268,889
"Agric., ganadería, caza y silvicultura (111)",1661,5,231,517,29,879,
"Pesca (112)",13,1,5,2,,5,
"Explotación de minas y canteras (113)",2,1,,,,1,
"Industrias manufactureras (114)",257,17,28,182,12,18,
"Suministro de electricidad, gas y agua (115)",7,5,2,,,,
"Construcción (116)",28,8,18,2,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1868,332,4,1200,71,261,
