"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUALGAYOC (000)",868,30,458,239,113,28
"Sin nivel (001)",60,6,12,12,19,11
"Primaria (003)",319,19,124,98,62,16
"Secundaria (004)",303,5,205,73,19,1
"Superior no univ. incompleta (005)",33,,18,9,6,
"Superior no univ. completa (006)",104,,68,32,4,
"Superior univ. incompleta (007)",13,,9,3,1,
"Superior univ. completa (008)",36,,22,12,2,
"Hombres (010)",659,19,328,185,102,25
"Sin nivel (011)",34,4,7,3,12,8
"Primaria (013)",247,13,81,78,59,16
"Secundaria (014)",244,2,161,61,19,1
"Superior no univ. incompleta (015)",25,,13,7,5,
"Superior no univ. completa (016)",79,,49,26,4,
"Superior univ. incompleta (017)",10,,6,3,1,
"Superior univ. completa (018)",20,,11,7,2,
"Mujeres (020)",209,11,130,54,11,3
"Sin nivel (021)",26,2,5,9,7,3
"Primaria (023)",72,6,43,20,3,
"Secundaria (024)",59,3,44,12,,
"Superior no univ. incompleta (025)",8,,5,2,1,
"Superior no univ. completa (026)",25,,19,6,,
"Superior univ. incompleta (027)",3,,3,,,
"Superior univ. completa (028)",16,,11,5,,
,,,,,,
"Area Urbana (030)",674,17,346,195,93,23
"Sin nivel (031)",46,5,8,9,15,9
"Primaria (033)",224,7,73,82,49,13
"Secundaria (034)",229,5,157,49,17,1
"Superior no univ. incompleta (035)",30,,16,8,6,
"Superior no univ. completa (036)",97,,62,32,3,
"Superior univ. incompleta (037)",12,,8,3,1,
"Superior univ. completa (038)",36,,22,12,2,
"Hombres (040)",514,12,252,146,84,20
"Sin nivel (041)",26,3,5,2,10,6
"Primaria (043)",179,7,50,63,46,13
"Secundaria (044)",184,2,125,39,17,1
"Superior no univ. incompleta (045)",22,,11,6,5,
"Superior no univ. completa (046)",73,,44,26,3,
"Superior univ. incompleta (047)",10,,6,3,1,
"Superior univ. completa (048)",20,,11,7,2,
"Mujeres (050)",160,5,94,49,9,3
"Sin nivel (051)",20,2,3,7,5,3
"Primaria (053)",45,,23,19,3,
"Secundaria (054)",45,3,32,10,,
"Superior no univ. incompleta (055)",8,,5,2,1,
"Superior no univ. completa (056)",24,,18,6,,
"Superior univ. incompleta (057)",2,,2,,,
"Superior univ. completa (058)",16,,11,5,,
,,,,,,
"Area Rural (060)",194,13,112,44,20,5
"Sin nivel (061)",14,1,4,3,4,2
"Primaria (063)",95,12,51,16,13,3
"Secundaria (064)",74,,48,24,2,
"Superior no univ. incompleta (065)",3,,2,1,,
"Superior no univ. completa (066)",7,,6,,1,
"Superior univ. incompleta (067)",1,,1,,,
"Hombres (070)",145,7,76,39,18,5
"Sin nivel (071)",8,1,2,1,2,2
"Primaria (073)",68,6,31,15,13,3
"Secundaria (074)",60,,36,22,2,
"Superior no univ. incompleta (075)",3,,2,1,,
"Superior no univ. completa (076)",6,,5,,1,
"Mujeres (080)",49,6,36,5,2,
"Sin nivel (081)",6,,2,2,2,
"Primaria (083)",27,6,20,1,,
"Secundaria (084)",14,,12,2,,
"Superior no univ. completa (086)",1,,1,,,
"Superior univ. incompleta (087)",1,,1,,,
