"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PACASMAYO (000)",27303,392,9577,8456,3471,1304,539,163,25,,3376
"Conviviente (001)",10088,189,4248,3144,1078,359,148,48,5,,869
"Separado(a) (002)",2097,42,781,703,272,104,42,10,1,,142
"Casado(a) (003)",10096,92,3283,3503,1609,626,234,70,13,,666
"Viudo(a) (004)",2067,46,818,627,239,100,60,28,1,,148
"Divorciado(a) (005)",154,3,38,59,20,7,6,,1,,20
"Soltero(a) (006)",2801,20,409,420,253,108,49,7,4,,1531
,,,,,,,,,,,
"URBANA (008)",25494,346,8718,7901,3332,1252,522,162,25,,3236
"Conviviente (009)",9257,161,3828,2892,1022,339,139,48,5,,823
"Separado(a) (010)",1970,38,714,666,262,100,40,10,1,,139
"Casado(a) (011)",9505,84,3006,3306,1553,604,230,69,13,,640
"Viudo(a) (012)",1926,42,746,578,232,95,58,28,1,,146
"Divorciado(a) (013)",150,3,36,58,19,7,6,,1,,20
"Soltero(a) (014)",2686,18,388,401,244,107,49,7,4,,1468
,,,,,,,,,,,
"RURAL (016)",1809,46,859,555,139,52,17,1,,,140
"Conviviente (017)",831,28,420,252,56,20,9,,,,46
"Separado(a) (018)",127,4,67,37,10,4,2,,,,3
"Casado(a) (019)",591,8,277,197,56,22,4,1,,,26
"Viudo(a) (020)",141,4,72,49,7,5,2,,,,2
"Divorciado(a) (021)",4,,2,1,1,,,,,,
"Soltero(a) (022)",115,2,21,19,9,1,,,,,63
