"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CHANCHAMAYO (000)",83369,11696,25882,20181,25610
"Asiste actualmente (001)",51857,3184,24227,17408,7038
"No asiste (002)",31512,8512,1655,2773,18572
"Hombres (004)",43423,6003,13251,10476,13693
"Asiste actualmente (005)",26678,1620,12349,8940,3769
"No asiste (006)",16745,4383,902,1536,9924
"Mujeres (008)",39946,5693,12631,9705,11917
"Asiste actualmente (009)",25179,1564,11878,8468,3269
"No asiste (010)",14767,4129,753,1237,8648
,,,,,
"URBANA (012)",47677,6162,14467,12300,14748
"Asiste actualmente (013)",32348,2157,13764,11281,5146
"No asiste (014)",15329,4005,703,1019,9602
"Hombres (016)",24325,3205,7356,6251,7513
"Asiste actualmente (017)",16440,1118,6971,5710,2641
"No asiste (018)",7885,2087,385,541,4872
"Mujeres (020)",23352,2957,7111,6049,7235
"Asiste actualmente (021)",15908,1039,6793,5571,2505
"No asiste (022)",7444,1918,318,478,4730
,,,,,
"RURAL (024)",35692,5534,11415,7881,10862
"Asiste actualmente (025)",19509,1027,10463,6127,1892
"No asiste (026)",16183,4507,952,1754,8970
"Hombres (028)",19098,2798,5895,4225,6180
"Asiste actualmente (029)",10238,502,5378,3230,1128
"No asiste (030)",8860,2296,517,995,5052
"Mujeres (032)",16594,2736,5520,3656,4682
"Asiste actualmente (033)",9271,525,5085,2897,764
"No asiste (034)",7323,2211,435,759,3918
